Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Nov 18 2010,7:30 pm,Denver Nuggets,83,Portland Trail Blazers,86,Box Score,,20532,
Fri Nov 19 2010,7:00 pm,Oklahoma City Thunder,89,Boston Celtics,84,Box Score,,18624,
Fri Nov 19 2010,8:30 pm,Chicago Bulls,88,Dallas Mavericks,83,Box Score,,20133,
Fri Nov 19 2010,7:30 pm,New York Knicks,125,Golden State Warriors,119,Box Score,,19808,
Fri Nov 19 2010,7:30 pm,Charlotte Bobcats,87,Miami Heat,95,Box Score,,19600,
Fri Nov 19 2010,7:00 pm,Los Angeles Lakers,112,Minnesota Timberwolves,95,Box Score,,19356,
Fri Nov 19 2010,7:00 pm,Cleveland Cavaliers,101,New Orleans Hornets,108,Box Score,,14755,
Fri Nov 19 2010,7:00 pm,Milwaukee Bucks,79,Philadelphia 76ers,90,Box Score,,14557,
Fri Nov 19 2010,7:00 pm,New Jersey Nets,81,Sacramento Kings,86,Box Score,,11766,
Fri Nov 19 2010,7:00 pm,Houston Rockets,96,Toronto Raptors,106,Box Score,,17369,
Fri Nov 19 2010,7:00 pm,San Antonio Spurs,94,Utah Jazz,82,Box Score,,19332,
Fri Nov 19 2010,7:00 pm,Memphis Grizzlies,86,Washington Wizards,89,Box Score,,13504,
Sat Nov 20 2010,8:00 pm,Dallas Mavericks,98,Atlanta Hawks,93,Box Score,,14143,
Sat Nov 20 2010,7:00 pm,Phoenix Suns,105,Charlotte Bobcats,123,Box Score,,16428,
Sat Nov 20 2010,7:00 pm,New Jersey Nets,103,Denver Nuggets,107,Box Score,,16396,
Sat Nov 20 2010,7:00 pm,Orlando Magic,90,Indiana Pacers,86,Box Score,,14583,
Sat Nov 20 2010,7:30 pm,New York Knicks,124,Los Angeles Clippers,115,Box Score,,18325,
Sat Nov 20 2010,7:00 pm,Miami Heat,95,Memphis Grizzlies,97,Box Score,,18119,
Sat Nov 20 2010,7:30 pm,Oklahoma City Thunder,82,Milwaukee Bucks,81,Box Score,,16975,
Sat Nov 20 2010,7:00 pm,Utah Jazz,103,Portland Trail Blazers,94,Box Score,,20533,
Sat Nov 20 2010,7:30 pm,Cleveland Cavaliers,92,San Antonio Spurs,116,Box Score,,16982,
Sun Nov 21 2010,6:00 pm,Washington Wizards,110,Detroit Pistons,115,Box Score,OT,13241,
Sun Nov 21 2010,6:30 pm,Golden State Warriors,89,Los Angeles Lakers,117,Box Score,,18997,
Sun Nov 21 2010,3:00 pm,New Orleans Hornets,75,Sacramento Kings,71,Box Score,,12003,
Sun Nov 21 2010,1:00 pm,Boston Celtics,101,Toronto Raptors,102,Box Score,,17707,
Mon Nov 22 2010,7:00 pm,Boston Celtics,99,Atlanta Hawks,76,Box Score,,14476,
Mon Nov 22 2010,7:30 pm,Denver Nuggets,106,Golden State Warriors,89,Box Score,,18023,
Mon Nov 22 2010,7:30 pm,Phoenix Suns,123,Houston Rockets,116,Box Score,,15080,
Mon Nov 22 2010,7:30 pm,New Orleans Hornets,95,Los Angeles Clippers,99,Box Score,,17787,
Mon Nov 22 2010,7:30 pm,Indiana Pacers,93,Miami Heat,77,Box Score,,19600,
Mon Nov 22 2010,7:00 pm,Minnesota Timberwolves,107,Oklahoma City Thunder,117,Box Score,,17653,
Mon Nov 22 2010,7:30 pm,Orlando Magic,97,San Antonio Spurs,106,Box Score,,17627,
Mon Nov 22 2010,7:00 pm,Sacramento Kings,83,Utah Jazz,94,Box Score,,18698,
Tue Nov 23 2010,7:30 pm,Detroit Pistons,84,Dallas Mavericks,88,Box Score,,19734,
Tue Nov 23 2010,7:00 pm,Cleveland Cavaliers,89,Indiana Pacers,100,Box Score,,12629,
Tue Nov 23 2010,7:30 pm,Chicago Bulls,91,Los Angeles Lakers,98,Box Score,,18997,
Tue Nov 23 2010,7:00 pm,Atlanta Hawks,101,New Jersey Nets,107,Box Score,OT,13010,
Tue Nov 23 2010,7:30 pm,Charlotte Bobcats,107,New York Knicks,110,Box Score,,19763,
Tue Nov 23 2010,7:00 pm,Philadelphia 76ers,114,Washington Wizards,116,Box Score,OT,16197,
Wed Nov 24 2010,7:30 pm,New Jersey Nets,83,Boston Celtics,89,Box Score,,18624,
Wed Nov 24 2010,7:00 pm,New York Knicks,99,Charlotte Bobcats,95,Box Score,,15588,
Wed Nov 24 2010,7:00 pm,Milwaukee Bucks,81,Cleveland Cavaliers,83,Box Score,,20562,
Wed Nov 24 2010,7:30 pm,Golden State Warriors,101,Houston Rockets,111,Box Score,,13847,
Wed Nov 24 2010,7:00 pm,Detroit Pistons,84,Memphis Grizzlies,105,Box Score,,11283,
Wed Nov 24 2010,7:00 pm,San Antonio Spurs,113,Minnesota Timberwolves,109,Box Score,OT,13117,
Wed Nov 24 2010,7:00 pm,Dallas Mavericks,111,Oklahoma City Thunder,103,Box Score,,18203,
Wed Nov 24 2010,7:30 pm,Miami Heat,95,Orlando Magic,104,Box Score,,18936,
Wed Nov 24 2010,7:00 pm,Chicago Bulls,123,Phoenix Suns,115,Box Score,2OT,18422,
Wed Nov 24 2010,7:00 pm,Philadelphia 76ers,90,Toronto Raptors,106,Box Score,,15012,
Wed Nov 24 2010,7:00 pm,New Orleans Hornets,87,Utah Jazz,105,Box Score,,19237,
Thu Nov 25 2010,8:00 pm,Washington Wizards,96,Atlanta Hawks,116,Box Score,,15042,
Thu Nov 25 2010,7:30 pm,Sacramento Kings,82,Los Angeles Clippers,100,Box Score,,11504,
Fri Nov 26 2010,7:30 pm,Toronto Raptors,101,Boston Celtics,110,Box Score,,18624,
Fri Nov 26 2010,7:00 pm,Houston Rockets,89,Charlotte Bobcats,99,Box Score,,16473,
Fri Nov 26 2010,7:00 pm,Chicago Bulls,97,Denver Nuggets,98,Box Score,,19155,
Fri Nov 26 2010,7:30 pm,Milwaukee Bucks,89,Detroit Pistons,103,Box Score,,17133,
Fri Nov 26 2010,8:00 pm,Oklahoma City Thunder,110,Indiana Pacers,106,Box Score,OT,17155,
Fri Nov 26 2010,8:30 pm,Golden State Warriors,111,Memphis Grizzlies,116,Box Score,,14753,
Fri Nov 26 2010,7:30 pm,Philadelphia 76ers,90,Miami Heat,99,Box Score,,19800,
Fri Nov 26 2010,7:00 pm,Cleveland Cavaliers,100,Orlando Magic,111,Box Score,,18846,
Fri Nov 26 2010,7:00 pm,Los Angeles Clippers,108,Phoenix Suns,116,Box Score,,17486,
Fri Nov 26 2010,7:00 pm,New Orleans Hornets,97,Portland Trail Blazers,78,Box Score,,20452,
Fri Nov 26 2010,7:30 pm,Dallas Mavericks,103,San Antonio Spurs,94,Box Score,,18581,
Fri Nov 26 2010,7:00 pm,Los Angeles Lakers,96,Utah Jazz,102,Box Score,,19911,
Sat Nov 27 2010,7:30 pm,Memphis Grizzlies,86,Cleveland Cavaliers,92,Box Score,,20562,
Sat Nov 27 2010,7:30 pm,Miami Heat,95,Dallas Mavericks,106,Box Score,,20536,
Sat Nov 27 2010,8:00 pm,Charlotte Bobcats,101,Milwaukee Bucks,104,Box Score,,15213,
Sat Nov 27 2010,7:00 pm,Golden State Warriors,104,Minnesota Timberwolves,94,Box Score,,14440,
Sat Nov 27 2010,1:00 pm,Atlanta Hawks,99,New York Knicks,90,Box Score,,19763,
Sat Nov 27 2010,7:30 pm,New Jersey Nets,86,Philadelphia 76ers,102,Box Score,,14150,
Sat Nov 27 2010,7:00 pm,Chicago Bulls,96,Sacramento Kings,85,Box Score,,13504,
Sat Nov 27 2010,7:00 pm,Orlando Magic,100,Washington Wizards,99,Box Score,,16435,
Sun Nov 28 2010,6:00 pm,Phoenix Suns,133,Denver Nuggets,138,Box Score,,15482,
Sun Nov 28 2010,1:30 pm,New York Knicks,125,Detroit Pistons,116,Box Score,2OT,16015,
Sun Nov 28 2010,6:00 pm,Oklahoma City Thunder,98,Houston Rockets,99,Box Score,,15316,
Sun Nov 28 2010,12:30 pm,Utah Jazz,109,Los Angeles Clippers,97,Box Score,,17085,
Sun Nov 28 2010,6:30 pm,Indiana Pacers,95,Los Angeles Lakers,92,Box Score,,18997,
Sun Nov 28 2010,7:00 pm,Portland Trail Blazers,96,New Jersey Nets,98,Box Score,,11448,
Sun Nov 28 2010,2:00 pm,San Antonio Spurs,109,New Orleans Hornets,95,Box Score,,12449,
Sun Nov 28 2010,1:00 pm,Atlanta Hawks,96,Toronto Raptors,78,Box Score,,17302,
Mon Nov 29 2010,7:30 pm,Houston Rockets,91,Dallas Mavericks,101,Box Score,,19435,
Mon Nov 29 2010,7:30 pm,Washington Wizards,94,Miami Heat,105,Box Score,,19600,
Mon Nov 29 2010,7:00 pm,New Orleans Hornets,89,Oklahoma City Thunder,95,Box Score,,18203,
Mon Nov 29 2010,7:00 pm,Milwaukee Bucks,88,Utah Jazz,109,Box Score,,18497,
Tue Nov 30 2010,7:00 pm,Boston Celtics,106,Cleveland Cavaliers,87,Box Score,,20562,
Tue Nov 30 2010,7:30 pm,San Antonio Spurs,118,Golden State Warriors,98,Box Score,,17877,
Tue Nov 30 2010,7:00 pm,Los Angeles Lakers,96,Memphis Grizzlies,98,Box Score,,17638,
Tue Nov 30 2010,7:30 pm,New Jersey Nets,100,New York Knicks,111,Box Score,,19763,
Tue Nov 30 2010,7:00 pm,Detroit Pistons,79,Orlando Magic,90,Box Score,,18846,
Tue Nov 30 2010,7:00 pm,Portland Trail Blazers,79,Philadelphia 76ers,88,Box Score,,13556,
Tue Nov 30 2010,7:00 pm,Indiana Pacers,107,Sacramento Kings,98,Box Score,,10927,
Wed Dec 1 2010,7:00 pm,Memphis Grizzlies,109,Atlanta Hawks,112,Box Score,,11513,
Wed Dec 1 2010,7:30 pm,Portland Trail Blazers,95,Boston Celtics,99,Box Score,,18624,
Wed Dec 1 2010,7:00 pm,Orlando Magic,107,Chicago Bulls,78,Box Score,,21435,
Wed Dec 1 2010,7:30 pm,Minnesota Timberwolves,86,Dallas Mavericks,100,Box Score,,19567,
Wed Dec 1 2010,7:00 pm,Milwaukee Bucks,94,Denver Nuggets,105,Box Score,,14221,
