Visitor/Neutral,Home/Neutral
Oklahoma City Thunder,Portland Trail Blazers
Chicago Bulls,Boston Celtics
Los Angeles Clippers,Denver Nuggets
Charlotte Hornets,Detroit Pistons
Utah Jazz,Golden State Warriors
Milwaukee Bucks,Indiana Pacers
Toronto Raptors,Los Angeles Lakers
Atlanta Hawks,Minnesota Timberwolves
Miami Heat,New Orleans Pelicans
Washington Wizards,New York Knicks
Brooklyn Nets,Orlando Magic
Cleveland Cavaliers,Philadelphia 76ers
Memphis Grizzlies,Phoenix Suns
Orlando Magic,Charlotte Hornets
Denver Nuggets,Dallas Mavericks
Brooklyn Nets,Miami Heat
New Orleans Pelicans,Milwaukee Bucks
Toronto Raptors,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Houston Rockets,San Antonio Spurs
Los Angeles Clippers,Utah Jazz
Cleveland Cavaliers,Washington Wizards
Phoenix Suns,Atlanta Hawks
Golden State Warriors,Detroit Pistons
Minnesota Timberwolves,Houston Rockets
Portland Trail Blazers,Los Angeles Lakers
Philadelphia 76ers,New York Knicks
Boston Celtics,Oklahoma City Thunder
San Antonio Spurs,Charlotte Hornets
Denver Nuggets,Chicago Bulls
Boston Celtics,Dallas Mavericks
Phoenix Suns,Memphis Grizzlies
Atlanta Hawks,Orlando Magic
Golden State Warriors,Toronto Raptors
Denver Nuggets,Indiana Pacers
Minnesota Timberwolves,Los Angeles Lakers
Utah Jazz,Miami Heat
New York Knicks,Milwaukee Bucks
Cleveland Cavaliers,Brooklyn Nets
Los Angeles Clippers,New Orleans Pelicans
Detroit Pistons,Portland Trail Blazers
Milwaukee Bucks,Atlanta Hawks
Brooklyn Nets,Cleveland Cavaliers
Dallas Mavericks,Memphis Grizzlies
Golden State Warriors,New York Knicks
Philadelphia 76ers,Oklahoma City Thunder
Utah Jazz,Orlando Magic
Minnesota Timberwolves,Sacramento Kings
Los Angeles Clippers,San Antonio Spurs
Charlotte Hornets,Toronto Raptors
Houston Rockets,Washington Wizards
Golden State Warriors,Chicago Bulls
Los Angeles Lakers,Denver Nuggets
Boston Celtics,Miami Heat
Utah Jazz,Atlanta Hawks
Philadelphia 76ers,Dallas Mavericks
Houston Rockets,Indiana Pacers
Detroit Pistons,Los Angeles Clippers
New York Knicks,Minnesota Timberwolves
Portland Trail Blazers,Oklahoma City Thunder
Toronto Raptors,Orlando Magic
Sacramento Kings,Phoenix Suns
Charlotte Hornets,Washington Wizards
Utah Jazz,Charlotte Hornets
Washington Wizards,Chicago Bulls
Indiana Pacers,Cleveland Cavaliers
Boston Celtics,Memphis Grizzlies
Toronto Raptors,Miami Heat
Golden State Warriors,Milwaukee Bucks
Orlando Magic,Brooklyn Nets
Portland Trail Blazers,New Orleans Pelicans
Philadelphia 76ers,San Antonio Spurs
Minnesota Timberwolves,Atlanta Hawks
Phoenix Suns,Los Angeles Lakers
Houston Rockets,New York Knicks
San Antonio Spurs,Oklahoma City Thunder
Detroit Pistons,Sacramento Kings
Minnesota Timberwolves,Charlotte Hornets
New Orleans Pelicans,Dallas Mavericks
Detroit Pistons,Golden State Warriors
Brooklyn Nets,Los Angeles Clippers
Memphis Grizzlies,Orlando Magic
Denver Nuggets,Phoenix Suns
Oklahoma City Thunder,Utah Jazz
Philadelphia 76ers,Cleveland Cavaliers
New York Knicks,Denver Nuggets
Chicago Bulls,Houston Rockets
Atlanta Hawks,Indiana Pacers
Portland Trail Blazers,Memphis Grizzlies
Los Angeles Lakers,Milwaukee Bucks
Toronto Raptors,Washington Wizards
Washington Wizards,Boston Celtics
Los Angeles Lakers,Detroit Pistons
Phoenix Suns,Miami Heat
Los Angeles Clippers,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Houston Rockets,Oklahoma City Thunder
Toronto Raptors,Philadelphia 76ers
New York Knicks,Sacramento Kings
Chicago Bulls,San Antonio Spurs
Brooklyn Nets,Utah Jazz
Los Angeles Clippers,Indiana Pacers
Phoenix Suns,Orlando Magic
Denver Nuggets,Portland Trail Blazers
Oklahoma City Thunder,Boston Celtics
Chicago Bulls,Dallas Mavericks
New York Knicks,Golden State Warriors
Charlotte Hornets,Miami Heat
Los Angeles Lakers,Minnesota Timberwolves
Cleveland Cavaliers,New Orleans Pelicans
Milwaukee Bucks,Philadelphia 76ers
Brooklyn Nets,Sacramento Kings
Houston Rockets,Toronto Raptors
San Antonio Spurs,Utah Jazz
Memphis Grizzlies,Washington Wizards
Dallas Mavericks,Atlanta Hawks
Phoenix Suns,Charlotte Hornets
Brooklyn Nets,Denver Nuggets
Orlando Magic,Indiana Pacers
New York Knicks,Los Angeles Clippers
Miami Heat,Memphis Grizzlies
Oklahoma City Thunder,Milwaukee Bucks
Utah Jazz,Portland Trail Blazers
Cleveland Cavaliers,San Antonio Spurs
Washington Wizards,Detroit Pistons
Golden State Warriors,Los Angeles Lakers
New Orleans Pelicans,Sacramento Kings
Boston Celtics,Toronto Raptors
Boston Celtics,Atlanta Hawks
Denver Nuggets,Golden State Warriors
Phoenix Suns,Houston Rockets
New Orleans Pelicans,Los Angeles Clippers
Indiana Pacers,Miami Heat
Minnesota Timberwolves,Oklahoma City Thunder
Orlando Magic,San Antonio Spurs
Sacramento Kings,Utah Jazz
Detroit Pistons,Dallas Mavericks
Cleveland Cavaliers,Indiana Pacers
Chicago Bulls,Los Angeles Lakers
Atlanta Hawks,Brooklyn Nets
Charlotte Hornets,New York Knicks
Philadelphia 76ers,Washington Wizards
Brooklyn Nets,Boston Celtics
New York Knicks,Charlotte Hornets
Milwaukee Bucks,Cleveland Cavaliers
Golden State Warriors,Houston Rockets
Detroit Pistons,Memphis Grizzlies
San Antonio Spurs,Minnesota Timberwolves
Dallas Mavericks,Oklahoma City Thunder
Miami Heat,Orlando Magic
Chicago Bulls,Phoenix Suns
Philadelphia 76ers,Toronto Raptors
New Orleans Pelicans,Utah Jazz
Washington Wizards,Atlanta Hawks
Sacramento Kings,Los Angeles Clippers
Toronto Raptors,Boston Celtics
Houston Rockets,Charlotte Hornets
Chicago Bulls,Denver Nuggets
Milwaukee Bucks,Detroit Pistons
Oklahoma City Thunder,Indiana Pacers
Golden State Warriors,Memphis Grizzlies
Philadelphia 76ers,Miami Heat
Cleveland Cavaliers,Orlando Magic
Los Angeles Clippers,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Dallas Mavericks,San Antonio Spurs
Los Angeles Lakers,Utah Jazz
Memphis Grizzlies,Cleveland Cavaliers
Miami Heat,Dallas Mavericks
Charlotte Hornets,Milwaukee Bucks
Golden State Warriors,Minnesota Timberwolves
Atlanta Hawks,New York Knicks
Brooklyn Nets,Philadelphia 76ers
Chicago Bulls,Sacramento Kings
Orlando Magic,Washington Wizards
Phoenix Suns,Denver Nuggets
New York Knicks,Detroit Pistons
Oklahoma City Thunder,Houston Rockets
Utah Jazz,Los Angeles Clippers
Indiana Pacers,Los Angeles Lakers
Portland Trail Blazers,Brooklyn Nets
San Antonio Spurs,New Orleans Pelicans
Atlanta Hawks,Toronto Raptors
Houston Rockets,Dallas Mavericks
Washington Wizards,Miami Heat
New Orleans Pelicans,Oklahoma City Thunder
Milwaukee Bucks,Utah Jazz
Boston Celtics,Cleveland Cavaliers
San Antonio Spurs,Golden State Warriors
Los Angeles Lakers,Memphis Grizzlies
Brooklyn Nets,New York Knicks
Detroit Pistons,Orlando Magic
Portland Trail Blazers,Philadelphia 76ers
Indiana Pacers,Sacramento Kings
Memphis Grizzlies,Atlanta Hawks
Portland Trail Blazers,Boston Celtics
Orlando Magic,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Milwaukee Bucks,Denver Nuggets
Los Angeles Lakers,Houston Rockets
San Antonio Spurs,Los Angeles Clippers
Detroit Pistons,Miami Heat
Oklahoma City Thunder,Brooklyn Nets
Charlotte Hornets,New Orleans Pelicans
Washington Wizards,Toronto Raptors
Indiana Pacers,Utah Jazz
Miami Heat,Cleveland Cavaliers
Phoenix Suns,Golden State Warriors
Philadelphia 76ers,Atlanta Hawks
Chicago Bulls,Boston Celtics
Brooklyn Nets,Charlotte Hornets
Los Angeles Clippers,Denver Nuggets
Orlando Magic,Detroit Pistons
Sacramento Kings,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
New York Knicks,New Orleans Pelicans
Indiana Pacers,Phoenix Suns
Minnesota Timberwolves,San Antonio Spurs
Oklahoma City Thunder,Toronto Raptors
Dallas Mavericks,Utah Jazz
Portland Trail Blazers,Washington Wizards
Houston Rockets,Chicago Bulls
Atlanta Hawks,Miami Heat
Orlando Magic,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Charlotte Hornets,Philadelphia 76ers
Dallas Mavericks,Sacramento Kings
Memphis Grizzlies,Denver Nuggets
Cleveland Cavaliers,Detroit Pistons
Boston Celtics,Brooklyn Nets
Golden State Warriors,Oklahoma City Thunder
Washington Wizards,Phoenix Suns
Los Angeles Clippers,Portland Trail Blazers
New Orleans Pelicans,San Antonio Spurs
New York Knicks,Toronto Raptors
Oklahoma City Thunder,Chicago Bulls
Toronto Raptors,Indiana Pacers
Sacramento Kings,Los Angeles Clippers
Miami Heat,Milwaukee Bucks
Minnesota Timberwolves,New York Knicks
Atlanta Hawks,Orlando Magic
Memphis Grizzlies,Utah Jazz
Brooklyn Nets,Atlanta Hawks
Denver Nuggets,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Detroit Pistons,Houston Rockets
Washington Wizards,Los Angeles Lakers
Cleveland Cavaliers,Philadelphia 76ers
Phoenix Suns,Portland Trail Blazers
Denver Nuggets,Boston Celtics
Chicago Bulls,Cleveland Cavaliers
Los Angeles Lakers,Los Angeles Clippers
Indiana Pacers,Milwaukee Bucks
Oklahoma City Thunder,Minnesota Timberwolves
Detroit Pistons,New Orleans Pelicans
Toronto Raptors,New York Knicks
Memphis Grizzlies,Phoenix Suns
Washington Wizards,Sacramento Kings
Golden State Warriors,San Antonio Spurs
Miami Heat,Utah Jazz
Brooklyn Nets,Dallas Mavericks
Boston Celtics,Philadelphia 76ers
Orlando Magic,Portland Trail Blazers
Los Angeles Lakers,Chicago Bulls
Miami Heat,Golden State Warriors
Charlotte Hornets,Indiana Pacers
Houston Rockets,Milwaukee Bucks
Detroit Pistons,Minnesota Timberwolves
Oklahoma City Thunder,New Orleans Pelicans
Portland Trail Blazers,Phoenix Suns
Atlanta Hawks,San Antonio Spurs
Denver Nuggets,Toronto Raptors
Orlando Magic,Utah Jazz
New York Knicks,Washington Wizards
Indiana Pacers,Atlanta Hawks
Boston Celtics,Charlotte Hornets
Minnesota Timberwolves,Chicago Bulls
Utah Jazz,Dallas Mavericks
Toronto Raptors,Detroit Pistons
Cleveland Cavaliers,Houston Rockets
Memphis Grizzlies,Los Angeles Clippers
Miami Heat,Sacramento Kings
Orlando Magic,Los Angeles Clippers
Los Angeles Lakers,Brooklyn Nets
Denver Nuggets,New York Knicks
Cleveland Cavaliers,Oklahoma City Thunder
New Orleans Pelicans,Philadelphia 76ers
Portland Trail Blazers,San Antonio Spurs
Indiana Pacers,Chicago Bulls
Milwaukee Bucks,Dallas Mavericks
Portland Trail Blazers,Memphis Grizzlies
New Orleans Pelicans,Miami Heat
Golden State Warriors,Utah Jazz
Toronto Raptors,Charlotte Hornets
Orlando Magic,Denver Nuggets
Atlanta Hawks,Detroit Pistons
Minnesota Timberwolves,Golden State Warriors
Sacramento Kings,Houston Rockets
Philadelphia 76ers,Brooklyn Nets
Los Angeles Lakers,Washington Wizards
Portland Trail Blazers,Dallas Mavericks
Los Angeles Lakers,Indiana Pacers
Charlotte Hornets,Memphis Grizzlies
Cleveland Cavaliers,Miami Heat
Sacramento Kings,New Orleans Pelicans
Boston Celtics,New York Knicks
Houston Rockets,Oklahoma City Thunder
Los Angeles Clippers,Philadelphia 76ers
Minnesota Timberwolves,Phoenix Suns
Milwaukee Bucks,San Antonio Spurs
Chicago Bulls,Toronto Raptors
Atlanta Hawks,Boston Celtics
San Antonio Spurs,Denver Nuggets
Washington Wizards,Brooklyn Nets
Charlotte Hornets,Atlanta Hawks
Phoenix Suns,Dallas Mavericks
Los Angeles Clippers,Detroit Pistons
Memphis Grizzlies,Houston Rockets
Cleveland Cavaliers,Indiana Pacers
Utah Jazz,New Orleans Pelicans
Miami Heat,New York Knicks
Sacramento Kings,Oklahoma City Thunder
Los Angeles Lakers,Philadelphia 76ers
Minnesota Timberwolves,Portland Trail Blazers
Brooklyn Nets,Toronto Raptors
Los Angeles Clippers,Chicago Bulls
New York Knicks,Cleveland Cavaliers
Minnesota Timberwolves,Denver Nuggets
Utah Jazz,Milwaukee Bucks
Philadelphia 76ers,Orlando Magic
Golden State Warriors,Portland Trail Blazers
Memphis Grizzlies,San Antonio Spurs
Miami Heat,Washington Wizards
Indiana Pacers,Boston Celtics
New Orleans Pelicans,Detroit Pistons
Atlanta Hawks,Brooklyn Nets
Phoenix Suns,Oklahoma City Thunder
Houston Rockets,Sacramento Kings
Los Angeles Lakers,Toronto Raptors
Orlando Magic,Atlanta Hawks
Utah Jazz,Cleveland Cavaliers
Houston Rockets,Golden State Warriors
New Orleans Pelicans,Indiana Pacers
Minnesota Timberwolves,Los Angeles Clippers
Dallas Mavericks,Miami Heat
Milwaukee Bucks,Portland Trail Blazers
Phoenix Suns,San Antonio Spurs
Charlotte Hornets,Washington Wizards
Oklahoma City Thunder,Charlotte Hornets
Philadelphia 76ers,Chicago Bulls
Milwaukee Bucks,Los Angeles Lakers
Brooklyn Nets,Memphis Grizzlies
Dallas Mavericks,Orlando Magic
Golden State Warriors,Sacramento Kings
Cleveland Cavaliers,Atlanta Hawks
Philadelphia 76ers,Boston Celtics
Houston Rockets,Los Angeles Clippers
Utah Jazz,Minnesota Timberwolves
Brooklyn Nets,New Orleans Pelicans
Oklahoma City Thunder,New York Knicks
Denver Nuggets,San Antonio Spurs
Detroit Pistons,Toronto Raptors
Chicago Bulls,Washington Wizards
San Antonio Spurs,Orlando Magic
Miami Heat,Phoenix Suns
Milwaukee Bucks,Sacramento Kings
Portland Trail Blazers,Golden State Warriors
Miami Heat,Los Angeles Lakers
Chicago Bulls,New York Knicks
Denver Nuggets,Oklahoma City Thunder
Boston Celtics,Orlando Magic
Minnesota Timberwolves,Cleveland Cavaliers
Philadelphia 76ers,Denver Nuggets
Chicago Bulls,Detroit Pistons
Memphis Grizzlies,Indiana Pacers
Phoenix Suns,Los Angeles Clippers
Atlanta Hawks,New Orleans Pelicans
Washington Wizards,San Antonio Spurs
Detroit Pistons,Charlotte Hornets
Philadelphia 76ers,Golden State Warriors
Washington Wizards,Houston Rockets
Toronto Raptors,Memphis Grizzlies
Atlanta Hawks,Milwaukee Bucks
New Orleans Pelicans,Minnesota Timberwolves
Orlando Magic,Brooklyn Nets
Dallas Mavericks,Oklahoma City Thunder
Los Angeles Clippers,Sacramento Kings
Portland Trail Blazers,Utah Jazz
Milwaukee Bucks,Chicago Bulls
Orlando Magic,Cleveland Cavaliers
Toronto Raptors,Dallas Mavericks
Portland Trail Blazers,Denver Nuggets
Boston Celtics,Indiana Pacers
New York Knicks,Miami Heat
Los Angeles Lakers,San Antonio Spurs
Golden State Warriors,Atlanta Hawks
Cleveland Cavaliers,Charlotte Hornets
Boston Celtics,Detroit Pistons
Miami Heat,Houston Rockets
Utah Jazz,Los Angeles Clippers
Denver Nuggets,Minnesota Timberwolves
Los Angeles Lakers,New Orleans Pelicans
Brooklyn Nets,Oklahoma City Thunder
Philadelphia 76ers,Phoenix Suns
Memphis Grizzlies,Sacramento Kings
Indiana Pacers,Washington Wizards
San Antonio Spurs,Dallas Mavericks
New York Knicks,Orlando Magic
Utah Jazz,Portland Trail Blazers
New Orleans Pelicans,Boston Celtics
Golden State Warriors,Charlotte Hornets
Brooklyn Nets,Chicago Bulls
Toronto Raptors,Houston Rockets
Washington Wizards,Indiana Pacers
Philadelphia 76ers,Los Angeles Lakers
Atlanta Hawks,Oklahoma City Thunder
Detroit Pistons,Phoenix Suns
Cleveland Cavaliers,Chicago Bulls
Sacramento Kings,Denver Nuggets
Golden State Warriors,Miami Heat
Dallas Mavericks,Milwaukee Bucks
Brooklyn Nets,Minnesota Timberwolves
Oklahoma City Thunder,San Antonio Spurs
Memphis Grizzlies,Utah Jazz
New Orleans Pelicans,Washington Wizards
Dallas Mavericks,Cleveland Cavaliers
Atlanta Hawks,Los Angeles Clippers
Memphis Grizzlies,Los Angeles Lakers
Indiana Pacers,New York Knicks
Houston Rockets,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Boston Celtics,Toronto Raptors
Minnesota Timberwolves,Boston Celtics
Miami Heat,Charlotte Hornets
Houston Rockets,Denver Nuggets
Philadelphia 76ers,New Orleans Pelicans
Golden State Warriors,Orlando Magic
Detroit Pistons,Utah Jazz
Toronto Raptors,Chicago Bulls
Portland Trail Blazers,Dallas Mavericks
Detroit Pistons,Los Angeles Lakers
Oklahoma City Thunder,Memphis Grizzlies
Milwaukee Bucks,Miami Heat
San Antonio Spurs,New York Knicks
Atlanta Hawks,Sacramento Kings
San Antonio Spurs,Boston Celtics
Toronto Raptors,Cleveland Cavaliers
Portland Trail Blazers,Houston Rockets
Denver Nuggets,Los Angeles Clippers
Charlotte Hornets,Minnesota Timberwolves
Chicago Bulls,Brooklyn Nets
Golden State Warriors,New Orleans Pelicans
Milwaukee Bucks,Orlando Magic
Washington Wizards,Philadelphia 76ers
Los Angeles Lakers,Phoenix Suns
Atlanta Hawks,Utah Jazz
Oklahoma City Thunder,Dallas Mavericks
Denver Nuggets,Sacramento Kings
Toronto Raptors,Boston Celtics
Cleveland Cavaliers,Golden State Warriors
San Antonio Spurs,Indiana Pacers
New Orleans Pelicans,Los Angeles Lakers
Utah Jazz,Memphis Grizzlies
Miami Heat,Milwaukee Bucks
Portland Trail Blazers,Minnesota Timberwolves
Houston Rockets,Orlando Magic
Chicago Bulls,Philadelphia 76ers
New York Knicks,Phoenix Suns
Brooklyn Nets,Washington Wizards
Indiana Pacers,Atlanta Hawks
Washington Wizards,Charlotte Hornets
Boston Celtics,Chicago Bulls
Orlando Magic,Dallas Mavericks
Philadelphia 76ers,Detroit Pistons
Utah Jazz,Houston Rockets
Milwaukee Bucks,Brooklyn Nets
Memphis Grizzlies,Oklahoma City Thunder
New Orleans Pelicans,Denver Nuggets
Golden State Warriors,Los Angeles Clippers
New York Knicks,Los Angeles Lakers
Cleveland Cavaliers,Phoenix Suns
Miami Heat,Portland Trail Blazers
Minnesota Timberwolves,San Antonio Spurs
Sacramento Kings,Toronto Raptors
Houston Rockets,Boston Celtics
Memphis Grizzlies,Charlotte Hornets
Detroit Pistons,Chicago Bulls
Phoenix Suns,Denver Nuggets
Cleveland Cavaliers,Los Angeles Lakers
San Antonio Spurs,Minnesota Timberwolves
Indiana Pacers,Philadelphia 76ers
New York Knicks,Portland Trail Blazers
Sacramento Kings,Washington Wizards
Sacramento Kings,Boston Celtics
Chicago Bulls,Charlotte Hornets
Memphis Grizzlies,Detroit Pistons
Los Angeles Lakers,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Dallas Mavericks,Indiana Pacers
Miami Heat,Los Angeles Clippers
San Antonio Spurs,Milwaukee Bucks
Orlando Magic,New Orleans Pelicans
Brooklyn Nets,Phoenix Suns
Atlanta Hawks,Toronto Raptors
New York Knicks,Utah Jazz
Miami Heat,Denver Nuggets
Washington Wizards,Minnesota Timberwolves
Orlando Magic,Oklahoma City Thunder
Charlotte Hornets,Boston Celtics
Los Angeles Clippers,Golden State Warriors
New Orleans Pelicans,Houston Rockets
Chicago Bulls,Indiana Pacers
Brooklyn Nets,Los Angeles Lakers
Sacramento Kings,New York Knicks
Milwaukee Bucks,Philadelphia 76ers
Portland Trail Blazers,Phoenix Suns
Dallas Mavericks,San Antonio Spurs
Detroit Pistons,Toronto Raptors
Cleveland Cavaliers,Utah Jazz
Houston Rockets,Atlanta Hawks
New Orleans Pelicans,Charlotte Hornets
Miami Heat,Chicago Bulls
Cleveland Cavaliers,Denver Nuggets
Sacramento Kings,Detroit Pistons
Dallas Mavericks,Memphis Grizzlies
Orlando Magic,Minnesota Timberwolves
Brooklyn Nets,Portland Trail Blazers
Toronto Raptors,Washington Wizards
Los Angeles Lakers,Los Angeles Clippers
Denver Nuggets,San Antonio Spurs
Sacramento Kings,Atlanta Hawks
Orlando Magic,Boston Celtics
Dallas Mavericks,Detroit Pistons
Brooklyn Nets,Golden State Warriors
Milwaukee Bucks,Houston Rockets
Indiana Pacers,Los Angeles Clippers
Oklahoma City Thunder,Los Angeles Lakers
Chicago Bulls,Memphis Grizzlies
Toronto Raptors,New Orleans Pelicans
Phoenix Suns,New York Knicks
Charlotte Hornets,Philadelphia 76ers
Minnesota Timberwolves,Portland Trail Blazers
Utah Jazz,Washington Wizards
Charlotte Hornets,Chicago Bulls
Atlanta Hawks,Miami Heat
Detroit Pistons,Boston Celtics
Phoenix Suns,Cleveland Cavaliers
Los Angeles Lakers,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets
Indiana Pacers,Golden State Warriors
New York Knicks,Houston Rockets
Minnesota Timberwolves,Los Angeles Clippers
Washington Wizards,Milwaukee Bucks
Utah Jazz,Brooklyn Nets
Memphis Grizzlies,New Orleans Pelicans
Philadelphia 76ers,Orlando Magic
Portland Trail Blazers,Sacramento Kings
Toronto Raptors,San Antonio Spurs
Philadelphia 76ers,Charlotte Hornets
Dallas Mavericks,Chicago Bulls
Los Angeles Clippers,Portland Trail Blazers
New Orleans Pelicans,Atlanta Hawks
Utah Jazz,Boston Celtics
Milwaukee Bucks,Cleveland Cavaliers
Los Angeles Lakers,Denver Nuggets
Sacramento Kings,Golden State Warriors
Houston Rockets,Memphis Grizzlies
Detroit Pistons,Brooklyn Nets
Toronto Raptors,Orlando Magic
New York Knicks,San Antonio Spurs
Phoenix Suns,Washington Wizards
Atlanta Hawks,Charlotte Hornets
Cleveland Cavaliers,Chicago Bulls
Phoenix Suns,Detroit Pistons
Orlando Magic,Houston Rockets
Golden State Warriors,Los Angeles Clippers
Toronto Raptors,Miami Heat
Memphis Grizzlies,Milwaukee Bucks
Dallas Mavericks,Brooklyn Nets
San Antonio Spurs,New Orleans Pelicans
New York Knicks,Oklahoma City Thunder
Utah Jazz,Philadelphia 76ers
Indiana Pacers,Portland Trail Blazers
Boston Celtics,Washington Wizards
Indiana Pacers,Denver Nuggets
Milwaukee Bucks,Chicago Bulls
San Antonio Spurs,Golden State Warriors
Houston Rockets,Minnesota Timberwolves
Cleveland Cavaliers,Brooklyn Nets
Oklahoma City Thunder,New Orleans Pelicans
Washington Wizards,New York Knicks
Detroit Pistons,Orlando Magic
Phoenix Suns,Philadelphia 76ers
Sacramento Kings,Portland Trail Blazers
Memphis Grizzlies,Toronto Raptors
Cleveland Cavaliers,Boston Celtics
Los Angeles Clippers,Dallas Mavericks
Utah Jazz,Los Angeles Lakers
Charlotte Hornets,Sacramento Kings
Denver Nuggets,Washington Wizards
Denver Nuggets,Detroit Pistons
New Orleans Pelicans,Golden State Warriors
Los Angeles Clippers,Houston Rockets
Orlando Magic,Indiana Pacers
Atlanta Hawks,Milwaukee Bucks
Oklahoma City Thunder,Minnesota Timberwolves
Memphis Grizzlies,Brooklyn Nets
Charlotte Hornets,Phoenix Suns
Philadelphia 76ers,Toronto Raptors
San Antonio Spurs,Utah Jazz
Houston Rockets,Dallas Mavericks
Miami Heat,New York Knicks
Boston Celtics,Portland Trail Blazers
New York Knicks,Atlanta Hawks
Orlando Magic,Chicago Bulls
Denver Nuggets,Cleveland Cavaliers
Charlotte Hornets,Golden State Warriors
Brooklyn Nets,Indiana Pacers
Sacramento Kings,Los Angeles Lakers
Detroit Pistons,Miami Heat
Washington Wizards,Oklahoma City Thunder
Memphis Grizzlies,Philadelphia 76ers
Boston Celtics,Phoenix Suns
Milwaukee Bucks,Toronto Raptors
Minnesota Timberwolves,Utah Jazz
Indiana Pacers,Chicago Bulls
Atlanta Hawks,Dallas Mavericks
Charlotte Hornets,Los Angeles Clippers
Washington Wizards,Memphis Grizzlies
Brooklyn Nets,Milwaukee Bucks
Toronto Raptors,Minnesota Timberwolves
New Orleans Pelicans,Sacramento Kings
Houston Rockets,San Antonio Spurs
Utah Jazz,Golden State Warriors
Boston Celtics,Los Angeles Lakers
Detroit Pistons,New York Knicks
Miami Heat,Oklahoma City Thunder
Cleveland Cavaliers,Orlando Magic
Denver Nuggets,Philadelphia 76ers
New Orleans Pelicans,Phoenix Suns
Washington Wizards,Dallas Mavericks
Toronto Raptors,Indiana Pacers
Milwaukee Bucks,Los Angeles Clippers
Orlando Magic,Memphis Grizzlies
Cleveland Cavaliers,Miami Heat
Denver Nuggets,Brooklyn Nets
Charlotte Hornets,Utah Jazz
Houston Rockets,Los Angeles Lakers
Washington Wizards,New Orleans Pelicans
San Antonio Spurs,Portland Trail Blazers
Boston Celtics,Sacramento Kings
Toronto Raptors,Atlanta Hawks
Indiana Pacers,Cleveland Cavaliers
Portland Trail Blazers,Denver Nuggets
Charlotte Hornets,Detroit Pistons
Chicago Bulls,Los Angeles Clippers
Memphis Grizzlies,Minnesota Timberwolves
Philadelphia 76ers,Brooklyn Nets
Dallas Mavericks,New York Knicks
