Visitor/Neutral,Home/Neutral
Miami Heat,Detroit Pistons
Memphis Grizzlies,Houston Rockets
Utah Jazz,Los Angeles Clippers
Sacramento Kings,Milwaukee Bucks
Atlanta Hawks,Minnesota Timberwolves
Brooklyn Nets,Oklahoma City Thunder
New York Knicks,Orlando Magic
New Orleans Pelicans,Phoenix Suns
Dallas Mavericks,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Washington Wizards,Boston Celtics
Cleveland Cavaliers,Charlotte Hornets
San Antonio Spurs,Denver Nuggets
Philadelphia 76ers,Houston Rockets
Chicago Bulls,Indiana Pacers
New Orleans Pelicans,Los Angeles Clippers
Atlanta Hawks,Memphis Grizzlies
Miami Heat,New York Knicks
Detroit Pistons,Oklahoma City Thunder
Milwaukee Bucks,Orlando Magic
Golden State Warriors,Phoenix Suns
Minnesota Timberwolves,Sacramento Kings
Brooklyn Nets,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Sacramento Kings,Golden State Warriors
Los Angeles Lakers,Portland Trail Blazers
Atlanta Hawks,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Toronto Raptors,Washington Wizards
Detroit Pistons,Brooklyn Nets
Milwaukee Bucks,Charlotte Hornets
Minnesota Timberwolves,Los Angeles Clippers
Indiana Pacers,Los Angeles Lakers
Philadelphia 76ers,Memphis Grizzlies
Houston Rockets,New York Knicks
Boston Celtics,Orlando Magic
Phoenix Suns,Toronto Raptors
Oklahoma City Thunder,Atlanta Hawks
San Antonio Spurs,Chicago Bulls
Houston Rockets,Detroit Pistons
Portland Trail Blazers,Los Angeles Clippers
Boston Celtics,Miami Heat
Denver Nuggets,Milwaukee Bucks
Dallas Mavericks,Sacramento Kings
Golden State Warriors,Utah Jazz
Phoenix Suns,Brooklyn Nets
Washington Wizards,Cleveland Cavaliers
Orlando Magic,Minnesota Timberwolves
Memphis Grizzlies,New Orleans Pelicans
Los Angeles Lakers,Philadelphia 76ers
Dallas Mavericks,Portland Trail Blazers
Toronto Raptors,Atlanta Hawks
Denver Nuggets,Chicago Bulls
Golden State Warriors,Charlotte Hornets
Phoenix Suns,Detroit Pistons
New Orleans Pelicans,Houston Rockets
Indiana Pacers,Los Angeles Clippers
Philadelphia 76ers,New York Knicks
Milwaukee Bucks,San Antonio Spurs
Los Angeles Lakers,Washington Wizards
San Antonio Spurs,Memphis Grizzlies
Oklahoma City Thunder,Miami Heat
Indiana Pacers,Portland Trail Blazers
Boston Celtics,Sacramento Kings
Denver Nuggets,Toronto Raptors
Orlando Magic,Utah Jazz
Los Angeles Lakers,Atlanta Hawks
Houston Rockets,Dallas Mavericks
Milwaukee Bucks,Detroit Pistons
Cleveland Cavaliers,New Orleans Pelicans
Brooklyn Nets,New York Knicks
Phoenix Suns,Washington Wizards
Charlotte Hornets,Chicago Bulls
Sacramento Kings,Houston Rockets
Orlando Magic,Los Angeles Clippers
Cleveland Cavaliers,Miami Heat
New York Knicks,Milwaukee Bucks
Portland Trail Blazers,Minnesota Timberwolves
Denver Nuggets,Philadelphia 76ers
Boston Celtics,San Antonio Spurs
Golden State Warriors,Toronto Raptors
Indiana Pacers,Utah Jazz
Golden State Warriors,Brooklyn Nets
Los Angeles Lakers,Detroit Pistons
Phoenix Suns,Memphis Grizzlies
Sacramento Kings,Oklahoma City Thunder
Dallas Mavericks,Washington Wizards
Phoenix Suns,Chicago Bulls
Detroit Pistons,Charlotte Hornets
Washington Wizards,Miami Heat
Portland Trail Blazers,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Boston Celtics,New Orleans Pelicans
Dallas Mavericks,New York Knicks
San Antonio Spurs,Philadelphia 76ers
Los Angeles Lakers,Toronto Raptors
Houston Rockets,Brooklyn Nets
Portland Trail Blazers,Cleveland Cavaliers
Orlando Magic,Denver Nuggets
Golden State Warriors,Indiana Pacers
Oklahoma City Thunder,Memphis Grizzlies
Utah Jazz,Sacramento Kings
Chicago Bulls,Boston Celtics
Miami Heat,Charlotte Hornets
Atlanta Hawks,Dallas Mavericks
Memphis Grizzlies,Detroit Pistons
Los Angeles Clippers,Milwaukee Bucks
Los Angeles Lakers,Minnesota Timberwolves
Orlando Magic,Phoenix Suns
San Antonio Spurs,Toronto Raptors
New York Knicks,Utah Jazz
Houston Rockets,Washington Wizards
Philadelphia 76ers,Brooklyn Nets
Los Angeles Clippers,Chicago Bulls
Atlanta Hawks,Oklahoma City Thunder
New York Knicks,Sacramento Kings
Golden State Warriors,Boston Celtics
Minnesota Timberwolves,Denver Nuggets
Miami Heat,Indiana Pacers
Charlotte Hornets,Memphis Grizzlies
Washington Wizards,New Orleans Pelicans
