Visitor/Neutral,Home/Neutral
Brooklyn Nets,Oklahoma City Thunder
Phoenix Suns,Philadelphia 76ers
Chicago Bulls,Portland Trail Blazers
Milwaukee Bucks,Toronto Raptors
Cleveland Cavaliers,Washington Wizards
Toronto Raptors,Cleveland Cavaliers
Dallas Mavericks,Houston Rockets
Phoenix Suns,Indiana Pacers
Washington Wizards,Milwaukee Bucks
Sacramento Kings,Minnesota Timberwolves
Philadelphia 76ers,New York Knicks
Miami Heat,Orlando Magic
Brooklyn Nets,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Portland Trail Blazers,Boston Celtics
Denver Nuggets,Los Angeles Lakers
Los Angeles Clippers,Memphis Grizzlies
Charlotte Hornets,Miami Heat
Golden State Warriors,Oklahoma City Thunder
Los Angeles Clippers,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
Indiana Pacers,Dallas Mavericks
New York Knicks,Houston Rockets
Portland Trail Blazers,Philadelphia 76ers
Phoenix Suns,Toronto Raptors
Chicago Bulls,Utah Jazz
Chicago Bulls,Denver Nuggets
Golden State Warriors,Miami Heat
Detroit Pistons,Milwaukee Bucks
Sacramento Kings,New Orleans Pelicans
Atlanta Hawks,Washington Wizards
Toronto Raptors,Atlanta Hawks
Portland Trail Blazers,Charlotte Hornets
Washington Wizards,Cleveland Cavaliers
New York Knicks,Dallas Mavericks
Los Angeles Clippers,Detroit Pistons
Sacramento Kings,Houston Rockets
Memphis Grizzlies,Los Angeles Lakers
Milwaukee Bucks,Minnesota Timberwolves
Utah Jazz,Oklahoma City Thunder
Golden State Warriors,Orlando Magic
Brooklyn Nets,Philadelphia 76ers
Denver Nuggets,Phoenix Suns
Indiana Pacers,San Antonio Spurs
New Orleans Pelicans,Atlanta Hawks
Chicago Bulls,Boston Celtics
Golden State Warriors,Charlotte Hornets
Phoenix Suns,Denver Nuggets
Milwaukee Bucks,Detroit Pistons
Los Angeles Clippers,Houston Rockets
Orlando Magic,Indiana Pacers
Minnesota Timberwolves,Los Angeles Lakers
New York Knicks,Oklahoma City Thunder
Memphis Grizzlies,Portland Trail Blazers
Sacramento Kings,San Antonio Spurs
Dallas Mavericks,Toronto Raptors
Charlotte Hornets,Atlanta Hawks
Indiana Pacers,Cleveland Cavaliers
Houston Rockets,Milwaukee Bucks
Dallas Mavericks,Philadelphia 76ers
Los Angeles Clippers,Utah Jazz
New Orleans Pelicans,Washington Wizards
San Antonio Spurs,Boston Celtics
Chicago Bulls,Brooklyn Nets
Golden State Warriors,Detroit Pistons
Toronto Raptors,Los Angeles Lakers
Miami Heat,New York Knicks
Orlando Magic,Phoenix Suns
Minnesota Timberwolves,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Minnesota Timberwolves,Los Angeles Clippers
San Antonio Spurs,Philadelphia 76ers
Denver Nuggets,Utah Jazz
Miami Heat,Washington Wizards
Boston Celtics,Atlanta Hawks
Dallas Mavericks,Chicago Bulls
Milwaukee Bucks,Cleveland Cavaliers
Portland Trail Blazers,Denver Nuggets
Los Angeles Lakers,Detroit Pistons
Orlando Magic,Golden State Warriors
Oklahoma City Thunder,New Orleans Pelicans
Brooklyn Nets,New York Knicks
Indiana Pacers,Phoenix Suns
Toronto Raptors,Sacramento Kings
Detroit Pistons,Boston Celtics
San Antonio Spurs,Brooklyn Nets
Chicago Bulls,Charlotte Hornets
Memphis Grizzlies,Houston Rockets
Orlando Magic,Los Angeles Clippers
Atlanta Hawks,Miami Heat
Dallas Mavericks,Milwaukee Bucks
Philadelphia 76ers,Minnesota Timberwolves
Toronto Raptors,Utah Jazz
Los Angeles Lakers,Washington Wizards
New Orleans Pelicans,Golden State Warriors
Cleveland Cavaliers,New York Knicks
Indiana Pacers,Portland Trail Blazers
Los Angeles Lakers,Boston Celtics
Atlanta Hawks,Brooklyn Nets
New York Knicks,Charlotte Hornets
Phoenix Suns,Dallas Mavericks
San Antonio Spurs,Memphis Grizzlies
Miami Heat,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves
Oklahoma City Thunder,Philadelphia 76ers
Indiana Pacers,Sacramento Kings
Cleveland Cavaliers,Toronto Raptors
Orlando Magic,Utah Jazz
Denver Nuggets,Washington Wizards
Golden State Warriors,Chicago Bulls
Philadelphia 76ers,Detroit Pistons
Phoenix Suns,Houston Rockets
New Orleans Pelicans,Los Angeles Clippers
Orlando Magic,Sacramento Kings
Minnesota Timberwolves,San Antonio Spurs
Denver Nuggets,Atlanta Hawks
Washington Wizards,Boston Celtics
Milwaukee Bucks,Dallas Mavericks
Oklahoma City Thunder,Detroit Pistons
New Orleans Pelicans,Los Angeles Lakers
Miami Heat,Memphis Grizzlies
Portland Trail Blazers,New York Knicks
Cleveland Cavaliers,Brooklyn Nets
Atlanta Hawks,Indiana Pacers
Phoenix Suns,Los Angeles Clippers
Golden State Warriors,Minnesota Timberwolves
Utah Jazz,Sacramento Kings
Denver Nuggets,Toronto Raptors
Boston Celtics,Washington Wizards
Toronto Raptors,Cleveland Cavaliers
Portland Trail Blazers,Detroit Pistons
Sacramento Kings,Los Angeles Lakers
Dallas Mavericks,Memphis Grizzlies
New York Knicks,New Orleans Pelicans
Milwaukee Bucks,Oklahoma City Thunder
Miami Heat,Phoenix Suns
San Antonio Spurs,Utah Jazz
Philadelphia 76ers,Atlanta Hawks
Brooklyn Nets,Chicago Bulls
Boston Celtics,Charlotte Hornets
New Orleans Pelicans,Dallas Mavericks
Miami Heat,Denver Nuggets
Houston Rockets,Golden State Warriors
Los Angeles Clippers,Indiana Pacers
Portland Trail Blazers,Minnesota Timberwolves
Washington Wizards,Orlando Magic
New York Knicks,San Antonio Spurs
Cleveland Cavaliers,Oklahoma City Thunder
Houston Rockets,Sacramento Kings
Orlando Magic,Atlanta Hawks
New York Knicks,Boston Celtics
Philadelphia 76ers,Brooklyn Nets
Portland Trail Blazers,Chicago Bulls
Charlotte Hornets,Memphis Grizzlies
Oklahoma City Thunder,Minnesota Timberwolves
Cleveland Cavaliers,New Orleans Pelicans
Detroit Pistons,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
Indiana Pacers,Toronto Raptors
Miami Heat,Utah Jazz
Los Angeles Clippers,Washington Wizards
Brooklyn Nets,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Denver Nuggets,Houston Rockets
Portland Trail Blazers,Indiana Pacers
Los Angeles Clippers,Milwaukee Bucks
Atlanta Hawks,Orlando Magic
Memphis Grizzlies,Philadelphia 76ers
Detroit Pistons,Sacramento Kings
San Antonio Spurs,Denver Nuggets
Chicago Bulls,Miami Heat
Los Angeles Lakers,Minnesota Timberwolves
Golden State Warriors,New Orleans Pelicans
Toronto Raptors,New York Knicks
Phoenix Suns,Oklahoma City Thunder
Utah Jazz,Washington Wizards
Chicago Bulls,Atlanta Hawks
Charlotte Hornets,Cleveland Cavaliers
Los Angeles Lakers,Indiana Pacers
Detroit Pistons,Los Angeles Clippers
Boston Celtics,Philadelphia 76ers
Milwaukee Bucks,Phoenix Suns
San Antonio Spurs,Portland Trail Blazers
Orlando Magic,Toronto Raptors
Miami Heat,Brooklyn Nets
Golden State Warriors,Memphis Grizzlies
Utah Jazz,New Orleans Pelicans
Dallas Mavericks,New York Knicks
Oklahoma City Thunder,Sacramento Kings
Minnesota Timberwolves,Washington Wizards
Orlando Magic,Boston Celtics
Phoenix Suns,Charlotte Hornets
Atlanta Hawks,Cleveland Cavaliers
Houston Rockets,Denver Nuggets
Dallas Mavericks,Detroit Pistons
Indiana Pacers,Los Angeles Clippers
Utah Jazz,Miami Heat
Milwaukee Bucks,Portland Trail Blazers
Memphis Grizzlies,San Antonio Spurs
Brooklyn Nets,Toronto Raptors
New York Knicks,Chicago Bulls
Oklahoma City Thunder,Golden State Warriors
New Orleans Pelicans,Houston Rockets
Milwaukee Bucks,Sacramento Kings
Minnesota Timberwolves,Boston Celtics
Brooklyn Nets,Cleveland Cavaliers
Los Angeles Clippers,Denver Nuggets
Toronto Raptors,Detroit Pistons
Oklahoma City Thunder,Los Angeles Lakers
Chicago Bulls,Memphis Grizzlies
Washington Wizards,Miami Heat
Utah Jazz,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Portland Trail Blazers,San Antonio Spurs
Utah Jazz,Charlotte Hornets
San Antonio Spurs,Dallas Mavericks
Indiana Pacers,Denver Nuggets
Atlanta Hawks,Houston Rockets
Milwaukee Bucks,Los Angeles Clippers
Portland Trail Blazers,New Orleans Pelicans
Phoenix Suns,New York Knicks
Detroit Pistons,Brooklyn Nets
Memphis Grizzlies,Cleveland Cavaliers
Boston Celtics,Miami Heat
Indiana Pacers,Minnesota Timberwolves
New Orleans Pelicans,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Los Angeles Lakers,Sacramento Kings
New York Knicks,Toronto Raptors
Phoenix Suns,Washington Wizards
Toronto Raptors,Chicago Bulls
Denver Nuggets,Charlotte Hornets
Atlanta Hawks,Dallas Mavericks
Sacramento Kings,Golden State Warriors
Portland Trail Blazers,Houston Rockets
Utah Jazz,Memphis Grizzlies
Los Angeles Clippers,San Antonio Spurs
Los Angeles Clippers,Atlanta Hawks
Denver Nuggets,Brooklyn Nets
Minnesota Timberwolves,Cleveland Cavaliers
New Orleans Pelicans,Indiana Pacers
Golden State Warriors,Los Angeles Lakers
Philadelphia 76ers,Miami Heat
Charlotte Hornets,Milwaukee Bucks
Portland Trail Blazers,Oklahoma City Thunder
Boston Celtics,Orlando Magic
Dallas Mavericks,Phoenix Suns
Chicago Bulls,Washington Wizards
Los Angeles Lakers,Chicago Bulls
Golden State Warriors,Los Angeles Clippers
Cleveland Cavaliers,Miami Heat
Washington Wizards,New York Knicks
Oklahoma City Thunder,San Antonio Spurs
Milwaukee Bucks,Atlanta Hawks
Brooklyn Nets,Boston Celtics
Los Angeles Lakers,Dallas Mavericks
Minnesota Timberwolves,Denver Nuggets
Indiana Pacers,Detroit Pistons
Houston Rockets,Memphis Grizzlies
San Antonio Spurs,New Orleans Pelicans
Charlotte Hornets,Oklahoma City Thunder
Cleveland Cavaliers,Orlando Magic
Philadelphia 76ers,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Indiana Pacers,Brooklyn Nets
New Orleans Pelicans,Chicago Bulls
Orlando Magic,Charlotte Hornets
Minnesota Timberwolves,Golden State Warriors
Toronto Raptors,Los Angeles Clippers
Memphis Grizzlies,Miami Heat
Atlanta Hawks,Milwaukee Bucks
New York Knicks,Sacramento Kings
Philadelphia 76ers,Utah Jazz
Boston Celtics,Washington Wizards
Detroit Pistons,Cleveland Cavaliers
Oklahoma City Thunder,Dallas Mavericks
Toronto Raptors,Denver Nuggets
Phoenix Suns,Los Angeles Lakers
New York Knicks,Portland Trail Blazers
Houston Rockets,San Antonio Spurs
Sacramento Kings,Brooklyn Nets
Milwaukee Bucks,Charlotte Hornets
Washington Wizards,Houston Rockets
Chicago Bulls,Indiana Pacers
Utah Jazz,Los Angeles Clippers
Orlando Magic,Miami Heat
Cleveland Cavaliers,Atlanta Hawks
Brooklyn Nets,Chicago Bulls
Washington Wizards,Dallas Mavericks
Los Angeles Lakers,Denver Nuggets
Philadelphia 76ers,Golden State Warriors
San Antonio Spurs,Memphis Grizzlies
Phoenix Suns,New Orleans Pelicans
Detroit Pistons,Orlando Magic
Toronto Raptors,Portland Trail Blazers
Minnesota Timberwolves,Utah Jazz
Sacramento Kings,Boston Celtics
Milwaukee Bucks,Cleveland Cavaliers
Charlotte Hornets,Houston Rockets
Miami Heat,Indiana Pacers
New York Knicks,Los Angeles Clippers
Phoenix Suns,Oklahoma City Thunder
New Orleans Pelicans,San Antonio Spurs
Denver Nuggets,Chicago Bulls
Sacramento Kings,Minnesota Timberwolves
Dallas Mavericks,Boston Celtics
Cleveland Cavaliers,Charlotte Hornets
Toronto Raptors,Golden State Warriors
Memphis Grizzlies,Los Angeles Lakers
Indiana Pacers,Milwaukee Bucks
Houston Rockets,New Orleans Pelicans
Detroit Pistons,New York Knicks
Washington Wizards,Oklahoma City Thunder
Brooklyn Nets,Orlando Magic
Philadelphia 76ers,Phoenix Suns
Atlanta Hawks,Utah Jazz
Boston Celtics,Chicago Bulls
Memphis Grizzlies,Denver Nuggets
Miami Heat,Houston Rockets
Philadelphia 76ers,Los Angeles Clippers
Utah Jazz,Minnesota Timberwolves
Charlotte Hornets,Orlando Magic
Atlanta Hawks,Portland Trail Blazers
Washington Wizards,San Antonio Spurs
Dallas Mavericks,Cleveland Cavaliers
Sacramento Kings,Detroit Pistons
Indiana Pacers,Los Angeles Lakers
Brooklyn Nets,Miami Heat
Milwaukee Bucks,New York Knicks
Toronto Raptors,Phoenix Suns
Charlotte Hornets,Boston Celtics
Dallas Mavericks,Brooklyn Nets
Houston Rockets,Chicago Bulls
Oklahoma City Thunder,Golden State Warriors
Atlanta Hawks,Los Angeles Clippers
New York Knicks,Memphis Grizzlies
Denver Nuggets,Minnesota Timberwolves
Washington Wizards,New Orleans Pelicans
Cleveland Cavaliers,Philadelphia 76ers
Los Angeles Lakers,Portland Trail Blazers
Indiana Pacers,Utah Jazz
Phoenix Suns,Milwaukee Bucks
Detroit Pistons,San Antonio Spurs
Memphis Grizzlies,Atlanta Hawks
Boston Celtics,Brooklyn Nets
Utah Jazz,Chicago Bulls
New Orleans Pelicans,Charlotte Hornets
Houston Rockets,Cleveland Cavaliers
Detroit Pistons,Dallas Mavericks
Orlando Magic,Denver Nuggets
Indiana Pacers,Golden State Warriors
Los Angeles Lakers,Los Angeles Clippers
Phoenix Suns,Minnesota Timberwolves
Milwaukee Bucks,Philadelphia 76ers
Oklahoma City Thunder,Sacramento Kings
New York Knicks,Washington Wizards
Houston Rockets,New York Knicks
Miami Heat,Portland Trail Blazers
Charlotte Hornets,Toronto Raptors
Philadelphia 76ers,Brooklyn Nets
Atlanta Hawks,Detroit Pistons
Cleveland Cavaliers,Golden State Warriors
Boston Celtics,Indiana Pacers
Orlando Magic,Los Angeles Lakers
Minnesota Timberwolves,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
Utah Jazz,Oklahoma City Thunder
Denver Nuggets,Sacramento Kings
Phoenix Suns,San Antonio Spurs
Chicago Bulls,Washington Wizards
Milwaukee Bucks,Chicago Bulls
Brooklyn Nets,Detroit Pistons
Utah Jazz,Houston Rockets
Dallas Mavericks,Los Angeles Clippers
San Antonio Spurs,Minnesota Timberwolves
Charlotte Hornets,New York Knicks
Indiana Pacers,Philadelphia 76ers
Orlando Magic,Portland Trail Blazers
Boston Celtics,Toronto Raptors
Washington Wizards,Atlanta Hawks
Miami Heat,Los Angeles Clippers
Portland Trail Blazers,Los Angeles Lakers
Phoenix Suns,Memphis Grizzlies
Cleveland Cavaliers,Sacramento Kings
New Orleans Pelicans,Boston Celtics
Houston Rockets,Brooklyn Nets
Orlando Magic,Chicago Bulls
Detroit Pistons,Toronto Raptors
Minnesota Timberwolves,Indiana Pacers
Miami Heat,Los Angeles Lakers
Atlanta Hawks,Philadelphia 76ers
Cleveland Cavaliers,Phoenix Suns
Dallas Mavericks,Sacramento Kings
Golden State Warriors,Utah Jazz
San Antonio Spurs,Washington Wizards
Atlanta Hawks,Boston Celtics
Memphis Grizzlies,Brooklyn Nets
Washington Wizards,Chicago Bulls
San Antonio Spurs,Charlotte Hornets
Dallas Mavericks,Denver Nuggets
New Orleans Pelicans,Detroit Pistons
Miami Heat,Golden State Warriors
Houston Rockets,Orlando Magic
Los Angeles Clippers,Portland Trail Blazers
Philadelphia 76ers,Toronto Raptors
Oklahoma City Thunder,Houston Rockets
Cleveland Cavaliers,Los Angeles Lakers
New York Knicks,Milwaukee Bucks
Chicago Bulls,Boston Celtics
Denver Nuggets,Dallas Mavericks
Detroit Pistons,Indiana Pacers
Cleveland Cavaliers,Los Angeles Clippers
Golden State Warriors,Oklahoma City Thunder
Memphis Grizzlies,Orlando Magic
New Orleans Pelicans,Philadelphia 76ers
Minnesota Timberwolves,Phoenix Suns
Miami Heat,Sacramento Kings
Portland Trail Blazers,San Antonio Spurs
Atlanta Hawks,Toronto Raptors
Los Angeles Lakers,Utah Jazz
Brooklyn Nets,Washington Wizards
Washington Wizards,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Indiana Pacers,Charlotte Hornets
Minnesota Timberwolves,Denver Nuggets
Philadelphia 76ers,Detroit Pistons
Golden State Warriors,Houston Rockets
Portland Trail Blazers,Memphis Grizzlies
Los Angeles Clippers,Sacramento Kings
Oklahoma City Thunder,Orlando Magic
Utah Jazz,San Antonio Spurs
New Orleans Pelicans,Toronto Raptors
Detroit Pistons,Atlanta Hawks
Minnesota Timberwolves,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Denver Nuggets,Golden State Warriors
Indiana Pacers,Houston Rockets
Boston Celtics,Los Angeles Clippers
Dallas Mavericks,Memphis Grizzlies
Toronto Raptors,Milwaukee Bucks
New Orleans Pelicans,New York Knicks
Los Angeles Lakers,Phoenix Suns
Sacramento Kings,Portland Trail Blazers
Philadelphia 76ers,Washington Wizards
San Antonio Spurs,Denver Nuggets
Oklahoma City Thunder,Miami Heat
Indiana Pacers,Atlanta Hawks
Miami Heat,Charlotte Hornets
Utah Jazz,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Houston Rockets,Golden State Warriors
Toronto Raptors,Memphis Grizzlies
Dallas Mavericks,Minnesota Timberwolves
Los Angeles Lakers,New Orleans Pelicans
New York Knicks,Philadelphia 76ers
Portland Trail Blazers,Phoenix Suns
Brooklyn Nets,Sacramento Kings
Oklahoma City Thunder,Washington Wizards
San Antonio Spurs,Chicago Bulls
Brooklyn Nets,Los Angeles Clippers
Utah Jazz,Milwaukee Bucks
Boston Celtics,Portland Trail Blazers
Oklahoma City Thunder,Atlanta Hawks
Charlotte Hornets,Cleveland Cavaliers
Chicago Bulls,Dallas Mavericks
Boston Celtics,Denver Nuggets
Sacramento Kings,Golden State Warriors
Indiana Pacers,Miami Heat
New Orleans Pelicans,Minnesota Timberwolves
Orlando Magic,New York Knicks
Toronto Raptors,Philadelphia 76ers
Houston Rockets,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
New York Knicks,Charlotte Hornets
Philadelphia 76ers,Memphis Grizzlies
Detroit Pistons,Milwaukee Bucks
Washington Wizards,Portland Trail Blazers
Brooklyn Nets,Utah Jazz
Minnesota Timberwolves,Atlanta Hawks
Miami Heat,Chicago Bulls
Oklahoma City Thunder,Cleveland Cavaliers
Washington Wizards,Denver Nuggets
Boston Celtics,Golden State Warriors
Houston Rockets,Los Angeles Lakers
Dallas Mavericks,New Orleans Pelicans
Indiana Pacers,Orlando Magic
Los Angeles Clippers,Phoenix Suns
Milwaukee Bucks,San Antonio Spurs
Detroit Pistons,Toronto Raptors
Denver Nuggets,Los Angeles Clippers
Orlando Magic,Memphis Grizzlies
Philadelphia 76ers,New Orleans Pelicans
Minnesota Timberwolves,Oklahoma City Thunder
Boston Celtics,Utah Jazz
Memphis Grizzlies,Dallas Mavericks
Cleveland Cavaliers,Detroit Pistons
Chicago Bulls,Golden State Warriors
Toronto Raptors,Indiana Pacers
Washington Wizards,Los Angeles Lakers
Milwaukee Bucks,Miami Heat
Brooklyn Nets,Atlanta Hawks
Portland Trail Blazers,Cleveland Cavaliers
Dallas Mavericks,Houston Rockets
Boston Celtics,Minnesota Timberwolves
Denver Nuggets,New Orleans Pelicans
Oklahoma City Thunder,New York Knicks
Detroit Pistons,Philadelphia 76ers
Washington Wizards,Phoenix Suns
Charlotte Hornets,San Antonio Spurs
Sacramento Kings,Toronto Raptors
Los Angeles Clippers,Utah Jazz
New York Knicks,Indiana Pacers
Chicago Bulls,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Milwaukee Bucks,Orlando Magic
Portland Trail Blazers,Atlanta Hawks
Houston Rockets,Boston Celtics
Toronto Raptors,Brooklyn Nets
Sacramento Kings,Cleveland Cavaliers
Dallas Mavericks,Miami Heat
Los Angeles Clippers,New Orleans Pelicans
Minnesota Timberwolves,Philadelphia 76ers
Chicago Bulls,Phoenix Suns
Golden State Warriors,Utah Jazz
Philadelphia 76ers,Atlanta Hawks
Charlotte Hornets,Denver Nuggets
Houston Rockets,Detroit Pistons
Phoenix Suns,Golden State Warriors
Sacramento Kings,Indiana Pacers
Oklahoma City Thunder,Memphis Grizzlies
Portland Trail Blazers,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Dallas Mavericks,Orlando Magic
Los Angeles Clippers,San Antonio Spurs
Toronto Raptors,Washington Wizards
Miami Heat,Boston Celtics
Los Angeles Lakers,New York Knicks
Los Angeles Clippers,Brooklyn Nets
Philadelphia 76ers,Cleveland Cavaliers
Minnesota Timberwolves,Dallas Mavericks
Atlanta Hawks,New Orleans Pelicans
Orlando Magic,Oklahoma City Thunder
Memphis Grizzlies,Phoenix Suns
Milwaukee Bucks,Toronto Raptors
Charlotte Hornets,Washington Wizards
Miami Heat,Detroit Pistons
