Visitor/Neutral,Home/Neutral
Boston Celtics,Orlando Magic
Cleveland Cavaliers,Philadelphia 76ers
Denver Nuggets,Phoenix Suns
Sacramento Kings,Portland Trail Blazers
Golden State Warriors,San Antonio Spurs
Brooklyn Nets,Washington Wizards
Orlando Magic,Atlanta Hawks
Indiana Pacers,Brooklyn Nets
Philadelphia 76ers,Cleveland Cavaliers
Los Angeles Clippers,Houston Rockets
Golden State Warriors,Memphis Grizzlies
Boston Celtics,Miami Heat
Dallas Mavericks,Milwaukee Bucks
Portland Trail Blazers,Sacramento Kings
Utah Jazz,Toronto Raptors
Minnesota Timberwolves,Los Angeles Lakers
San Antonio Spurs,New York Knicks
Washington Wizards,Oklahoma City Thunder
New Orleans Pelicans,Phoenix Suns
Orlando Magic,Boston Celtics
Atlanta Hawks,Charlotte Hornets
Cleveland Cavaliers,Chicago Bulls
Toronto Raptors,Houston Rockets
Memphis Grizzlies,Indiana Pacers
Minnesota Timberwolves,Los Angeles Clippers
San Antonio Spurs,Philadelphia 76ers
Detroit Pistons,Portland Trail Blazers
Denver Nuggets,Utah Jazz
Washington Wizards,Dallas Mavericks
Detroit Pistons,Golden State Warriors
New Orleans Pelicans,Los Angeles Lakers
Milwaukee Bucks,Miami Heat
New York Knicks,Atlanta Hawks
Charlotte Hornets,Boston Celtics
Los Angeles Lakers,Denver Nuggets
Oklahoma City Thunder,Los Angeles Clippers
Toronto Raptors,Memphis Grizzlies
Cleveland Cavaliers,Minnesota Timberwolves
Milwaukee Bucks,Orlando Magic
Houston Rockets,Philadelphia 76ers
Phoenix Suns,Portland Trail Blazers
Brooklyn Nets,Sacramento Kings
Washington Wizards,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Oklahoma City Thunder,Golden State Warriors
Houston Rockets,New York Knicks
Philadelphia 76ers,Atlanta Hawks
Portland Trail Blazers,Boston Celtics
Charlotte Hornets,Cleveland Cavaliers
Minnesota Timberwolves,Denver Nuggets
Milwaukee Bucks,Indiana Pacers
Memphis Grizzlies,Los Angeles Lakers
Dallas Mavericks,Miami Heat
Brooklyn Nets,Phoenix Suns
Detroit Pistons,Sacramento Kings
Chicago Bulls,Toronto Raptors
San Antonio Spurs,Utah Jazz
Miami Heat,Charlotte Hornets
Indiana Pacers,Chicago Bulls
Utah Jazz,Golden State Warriors
Denver Nuggets,Houston Rockets
Brooklyn Nets,Los Angeles Clippers
Oklahoma City Thunder,Milwaukee Bucks
Boston Celtics,Minnesota Timberwolves
Philadelphia 76ers,New Orleans Pelicans
Atlanta Hawks,New York Knicks
Dallas Mavericks,Orlando Magic
Cleveland Cavaliers,Washington Wizards
Detroit Pistons,Los Angeles Lakers
Memphis Grizzlies,Sacramento Kings
Portland Trail Blazers,Toronto Raptors
Portland Trail Blazers,Brooklyn Nets
Charlotte Hornets,Chicago Bulls
Philadelphia 76ers,Dallas Mavericks
Memphis Grizzlies,Los Angeles Clippers
Denver Nuggets,Oklahoma City Thunder
Golden State Warriors,Utah Jazz
New York Knicks,Detroit Pistons
Boston Celtics,Houston Rockets
Atlanta Hawks,Miami Heat
Phoenix Suns,Sacramento Kings
Minnesota Timberwolves,Washington Wizards
Detroit Pistons,Atlanta Hawks
Brooklyn Nets,Charlotte Hornets
Washington Wizards,Cleveland Cavaliers
Houston Rockets,Dallas Mavericks
Memphis Grizzlies,Golden State Warriors
Portland Trail Blazers,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Utah Jazz,New Orleans Pelicans
Indiana Pacers,New York Knicks
Miami Heat,Orlando Magic
Toronto Raptors,Philadelphia 76ers
Sacramento Kings,Phoenix Suns
Boston Celtics,San Antonio Spurs
Chicago Bulls,Denver Nuggets
Los Angeles Clippers,Oklahoma City Thunder
Indiana Pacers,Boston Celtics
Phoenix Suns,Charlotte Hornets
Utah Jazz,Dallas Mavericks
Atlanta Hawks,Detroit Pistons
Golden State Warriors,Los Angeles Lakers
San Antonio Spurs,Memphis Grizzlies
Brooklyn Nets,Minnesota Timberwolves
Cleveland Cavaliers,New Orleans Pelicans
Milwaukee Bucks,Philadelphia 76ers
Chicago Bulls,Portland Trail Blazers
Washington Wizards,Toronto Raptors
Boston Celtics,Atlanta Hawks
Dallas Mavericks,Denver Nuggets
Portland Trail Blazers,Golden State Warriors
Minnesota Timberwolves,Houston Rockets
Philadelphia 76ers,Indiana Pacers
Sacramento Kings,Los Angeles Clippers
Orlando Magic,Miami Heat
Charlotte Hornets,Milwaukee Bucks
Cleveland Cavaliers,San Antonio Spurs
New York Knicks,Washington Wizards
Detroit Pistons,Brooklyn Nets
Chicago Bulls,Los Angeles Clippers
Sacramento Kings,Los Angeles Lakers
Utah Jazz,Oklahoma City Thunder
Phoenix Suns,Orlando Magic
Boston Celtics,Charlotte Hornets
Denver Nuggets,Dallas Mavericks
Milwaukee Bucks,Detroit Pistons
Minnesota Timberwolves,Indiana Pacers
Houston Rockets,Memphis Grizzlies
Phoenix Suns,Miami Heat
New York Knicks,Portland Trail Blazers
New Orleans Pelicans,San Antonio Spurs
Chicago Bulls,Utah Jazz
Orlando Magic,Atlanta Hawks
Golden State Warriors,New Orleans Pelicans
Brooklyn Nets,Toronto Raptors
Los Angeles Lakers,Washington Wizards
Memphis Grizzlies,Boston Celtics
Los Angeles Lakers,Brooklyn Nets
Indiana Pacers,Charlotte Hornets
Miami Heat,Cleveland Cavaliers
Golden State Warriors,Dallas Mavericks
Chicago Bulls,Detroit Pistons
Atlanta Hawks,Houston Rockets
New York Knicks,Los Angeles Clippers
Washington Wizards,Milwaukee Bucks
Denver Nuggets,Minnesota Timberwolves
San Antonio Spurs,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Portland Trail Blazers,Phoenix Suns
Dallas Mavericks,Atlanta Hawks
Cleveland Cavaliers,Boston Celtics
Milwaukee Bucks,Charlotte Hornets
New York Knicks,Denver Nuggets
Los Angeles Lakers,Detroit Pistons
Brooklyn Nets,Houston Rockets
Washington Wizards,Indiana Pacers
Golden State Warriors,Oklahoma City Thunder
San Antonio Spurs,Orlando Magic
New Orleans Pelicans,Philadelphia 76ers
Los Angeles Clippers,Sacramento Kings
Miami Heat,Toronto Raptors
Phoenix Suns,Utah Jazz
Chicago Bulls,Cleveland Cavaliers
Minnesota Timberwolves,Dallas Mavericks
Brooklyn Nets,Memphis Grizzlies
Boston Celtics,Milwaukee Bucks
Utah Jazz,Phoenix Suns
Houston Rockets,San Antonio Spurs
Atlanta Hawks,Washington Wizards
Philadelphia 76ers,Detroit Pistons
Indiana Pacers,Los Angeles Clippers
Portland Trail Blazers,Los Angeles Lakers
Charlotte Hornets,Miami Heat
New Orleans Pelicans,New York Knicks
Minnesota Timberwolves,Oklahoma City Thunder
Golden State Warriors,Sacramento Kings
Denver Nuggets,Toronto Raptors
New Orleans Pelicans,Chicago Bulls
Indiana Pacers,Portland Trail Blazers
Atlanta Hawks,San Antonio Spurs
Houston Rockets,Utah Jazz
Orlando Magic,Washington Wizards
Milwaukee Bucks,Boston Celtics
Denver Nuggets,Brooklyn Nets
Charlotte Hornets,Dallas Mavericks
Toronto Raptors,Golden State Warriors
Phoenix Suns,Memphis Grizzlies
Detroit Pistons,Miami Heat
Orlando Magic,Philadelphia 76ers
Oklahoma City Thunder,Sacramento Kings
Los Angeles Clippers,Atlanta Hawks
Denver Nuggets,Cleveland Cavaliers
Phoenix Suns,Houston Rockets
Detroit Pistons,Milwaukee Bucks
Dallas Mavericks,New Orleans Pelicans
Oklahoma City Thunder,Portland Trail Blazers
Indiana Pacers,Utah Jazz
New York Knicks,Brooklyn Nets
Miami Heat,Chicago Bulls
Los Angeles Clippers,Memphis Grizzlies
Cleveland Cavaliers,Atlanta Hawks
Denver Nuggets,Boston Celtics
Philadelphia 76ers,Charlotte Hornets
Golden State Warriors,Houston Rockets
Oklahoma City Thunder,New Orleans Pelicans
Orlando Magic,New York Knicks
Toronto Raptors,Phoenix Suns
Utah Jazz,Portland Trail Blazers
Los Angeles Lakers,Sacramento Kings
Milwaukee Bucks,Washington Wizards
Detroit Pistons,Chicago Bulls
Los Angeles Clippers,Cleveland Cavaliers
Golden State Warriors,Memphis Grizzlies
Brooklyn Nets,Milwaukee Bucks
Miami Heat,Minnesota Timberwolves
Denver Nuggets,Philadelphia 76ers
Dallas Mavericks,Portland Trail Blazers
Indiana Pacers,San Antonio Spurs
Sacramento Kings,Utah Jazz
Miami Heat,Detroit Pistons
Orlando Magic,Houston Rockets
Toronto Raptors,Los Angeles Lakers
Boston Celtics,New York Knicks
Indiana Pacers,Oklahoma City Thunder
Golden State Warriors,Charlotte Hornets
Orlando Magic,Memphis Grizzlies
Los Angeles Clippers,Philadelphia 76ers
Dallas Mavericks,Sacramento Kings
Portland Trail Blazers,Utah Jazz
Denver Nuggets,Washington Wizards
Oklahoma City Thunder,Atlanta Hawks
Boston Celtics,Brooklyn Nets
Milwaukee Bucks,Chicago Bulls
New York Knicks,Cleveland Cavaliers
Minnesota Timberwolves,Detroit Pistons
Miami Heat,Indiana Pacers
Phoenix Suns,Los Angeles Lakers
San Antonio Spurs,Toronto Raptors
Los Angeles Clippers,Boston Celtics
Orlando Magic,Charlotte Hornets
Dallas Mavericks,Golden State Warriors
Oklahoma City Thunder,Memphis Grizzlies
San Antonio Spurs,Milwaukee Bucks
Philadelphia 76ers,Minnesota Timberwolves
Detroit Pistons,New Orleans Pelicans
Chicago Bulls,New York Knicks
Utah Jazz,Sacramento Kings
Los Angeles Clippers,Brooklyn Nets
Houston Rockets,Portland Trail Blazers
Washington Wizards,Atlanta Hawks
New York Knicks,Boston Celtics
Utah Jazz,Denver Nuggets
Brooklyn Nets,Detroit Pistons
Houston Rockets,Golden State Warriors
Charlotte Hornets,Indiana Pacers
Chicago Bulls,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
Los Angeles Lakers,Oklahoma City Thunder
Cleveland Cavaliers,Orlando Magic
Sacramento Kings,Phoenix Suns
Minnesota Timberwolves,San Antonio Spurs
Philadelphia 76ers,Toronto Raptors
Los Angeles Lakers,Charlotte Hornets
Toronto Raptors,Chicago Bulls
Milwaukee Bucks,Dallas Mavericks
Cleveland Cavaliers,Miami Heat
Atlanta Hawks,New York Knicks
Portland Trail Blazers,Philadelphia 76ers
San Antonio Spurs,Utah Jazz
Los Angeles Clippers,Washington Wizards
New Orleans Pelicans,Denver Nuggets
Portland Trail Blazers,Detroit Pistons
Minnesota Timberwolves,Memphis Grizzlies
Orlando Magic,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Houston Rockets,Sacramento Kings
Los Angeles Lakers,Atlanta Hawks
Minnesota Timberwolves,Boston Celtics
Philadelphia 76ers,Brooklyn Nets
Orlando Magic,Chicago Bulls
Detroit Pistons,Indiana Pacers
San Antonio Spurs,Los Angeles Clippers
Utah Jazz,Miami Heat
Washington Wizards,New York Knicks
Sacramento Kings,Charlotte Hornets
Portland Trail Blazers,Cleveland Cavaliers
Oklahoma City Thunder,Denver Nuggets
New Orleans Pelicans,Golden State Warriors
Los Angeles Lakers,Memphis Grizzlies
Sacramento Kings,Atlanta Hawks
Detroit Pistons,Boston Celtics
Washington Wizards,Brooklyn Nets
Memphis Grizzlies,Dallas Mavericks
Chicago Bulls,Houston Rockets
New Orleans Pelicans,Los Angeles Clippers
Indiana Pacers,Miami Heat
New York Knicks,Milwaukee Bucks
Portland Trail Blazers,Minnesota Timberwolves
Utah Jazz,Orlando Magic
San Antonio Spurs,Phoenix Suns
Charlotte Hornets,Toronto Raptors
San Antonio Spurs,Golden State Warriors
Chicago Bulls,Oklahoma City Thunder
Utah Jazz,Atlanta Hawks
Milwaukee Bucks,Cleveland Cavaliers
Toronto Raptors,Dallas Mavericks
Phoenix Suns,Denver Nuggets
Charlotte Hornets,Detroit Pistons
Houston Rockets,Indiana Pacers
Minnesota Timberwolves,Los Angeles Lakers
Sacramento Kings,Miami Heat
Brooklyn Nets,Philadelphia 76ers
Washington Wizards,Boston Celtics
Utah Jazz,Charlotte Hornets
Cleveland Cavaliers,Chicago Bulls
Houston Rockets,Detroit Pistons
Los Angeles Lakers,Golden State Warriors
Denver Nuggets,Los Angeles Clippers
Philadelphia 76ers,Milwaukee Bucks
Memphis Grizzlies,New York Knicks
Sacramento Kings,Orlando Magic
Dallas Mavericks,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Oklahoma City Thunder,San Antonio Spurs
Boston Celtics,Indiana Pacers
Minnesota Timberwolves,Los Angeles Clippers
Toronto Raptors,Oklahoma City Thunder
Indiana Pacers,Brooklyn Nets
Milwaukee Bucks,Charlotte Hornets
Detroit Pistons,Cleveland Cavaliers
Golden State Warriors,Denver Nuggets
Dallas Mavericks,Houston Rockets
Utah Jazz,Memphis Grizzlies
Atlanta Hawks,Miami Heat
New York Knicks,Orlando Magic
Los Angeles Lakers,Phoenix Suns
New Orleans Pelicans,Sacramento Kings
Toronto Raptors,San Antonio Spurs
Chicago Bulls,Brooklyn Nets
Los Angeles Clippers,Golden State Warriors
Miami Heat,Los Angeles Lakers
Oklahoma City Thunder,New York Knicks
Houston Rockets,San Antonio Spurs
Atlanta Hawks,Cleveland Cavaliers
San Antonio Spurs,Dallas Mavericks
Memphis Grizzlies,Houston Rockets
Los Angeles Clippers,Portland Trail Blazers
Milwaukee Bucks,Brooklyn Nets
Oklahoma City Thunder,Charlotte Hornets
Phoenix Suns,Golden State Warriors
Washington Wizards,Minnesota Timberwolves
Denver Nuggets,New Orleans Pelicans
Toronto Raptors,New York Knicks
Detroit Pistons,Orlando Magic
Miami Heat,Sacramento Kings
Los Angeles Lakers,Utah Jazz
Charlotte Hornets,Atlanta Hawks
Cleveland Cavaliers,Boston Celtics
Dallas Mavericks,Chicago Bulls
New Orleans Pelicans,Houston Rockets
Brooklyn Nets,Indiana Pacers
Utah Jazz,Los Angeles Clippers
Denver Nuggets,Memphis Grizzlies
Minnesota Timberwolves,Milwaukee Bucks
Philadelphia 76ers,Phoenix Suns
Miami Heat,Portland Trail Blazers
New York Knicks,Toronto Raptors
Detroit Pistons,Washington Wizards
Golden State Warriors,Cleveland Cavaliers
Philadelphia 76ers,Los Angeles Lakers
Houston Rockets,Oklahoma City Thunder
Atlanta Hawks,Orlando Magic
Sacramento Kings,San Antonio Spurs
Miami Heat,Denver Nuggets
Washington Wizards,Detroit Pistons
Phoenix Suns,Los Angeles Clippers
Chicago Bulls,Memphis Grizzlies
Dallas Mavericks,Minnesota Timberwolves
Portland Trail Blazers,New Orleans Pelicans
Charlotte Hornets,Utah Jazz
Atlanta Hawks,Boston Celtics
Toronto Raptors,Chicago Bulls
Sacramento Kings,Houston Rockets
Cleveland Cavaliers,Indiana Pacers
Milwaukee Bucks,Los Angeles Lakers
Portland Trail Blazers,Oklahoma City Thunder
Golden State Warriors,Orlando Magic
Brooklyn Nets,San Antonio Spurs
Philadelphia 76ers,Denver Nuggets
Charlotte Hornets,Los Angeles Clippers
New Orleans Pelicans,Minnesota Timberwolves
Indiana Pacers,Toronto Raptors
Dallas Mavericks,Washington Wizards
Boston Celtics,Chicago Bulls
Orlando Magic,Cleveland Cavaliers
Golden State Warriors,Miami Heat
Brooklyn Nets,Oklahoma City Thunder
Memphis Grizzlies,Phoenix Suns
Charlotte Hornets,Portland Trail Blazers
Philadelphia 76ers,Sacramento Kings
New York Knicks,San Antonio Spurs
Milwaukee Bucks,Utah Jazz
Golden State Warriors,Atlanta Hawks
New Orleans Pelicans,Boston Celtics
Los Angeles Clippers,Dallas Mavericks
Memphis Grizzlies,Denver Nuggets
New York Knicks,Houston Rockets
Utah Jazz,Los Angeles Lakers
Toronto Raptors,Washington Wizards
Cleveland Cavaliers,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
New Orleans Pelicans,Indiana Pacers
Oklahoma City Thunder,Minnesota Timberwolves
Miami Heat,Orlando Magic
Milwaukee Bucks,Phoenix Suns
Philadelphia 76ers,Portland Trail Blazers
Charlotte Hornets,Sacramento Kings
Los Angeles Clippers,San Antonio Spurs
Indiana Pacers,Cleveland Cavaliers
New York Knicks,Dallas Mavericks
Memphis Grizzlies,Detroit Pistons
Denver Nuggets,Los Angeles Lakers
Toronto Raptors,Miami Heat
Boston Celtics,Oklahoma City Thunder
Golden State Warriors,Washington Wizards
Atlanta Hawks,Brooklyn Nets
Orlando Magic,Los Angeles Clippers
Minnesota Timberwolves,Philadelphia 76ers
Washington Wizards,Charlotte Hornets
Phoenix Suns,Chicago Bulls
Philadelphia 76ers,Cleveland Cavaliers
Los Angeles Lakers,Dallas Mavericks
Boston Celtics,Denver Nuggets
Toronto Raptors,Indiana Pacers
San Antonio Spurs,Memphis Grizzlies
New Orleans Pelicans,Miami Heat
Golden State Warriors,Milwaukee Bucks
Detroit Pistons,New York Knicks
Portland Trail Blazers,Sacramento Kings
Oklahoma City Thunder,Utah Jazz
Indiana Pacers,Atlanta Hawks
Golden State Warriors,Brooklyn Nets
Los Angeles Lakers,Houston Rockets
Boston Celtics,Los Angeles Clippers
Phoenix Suns,Minnesota Timberwolves
Washington Wizards,New Orleans Pelicans
Orlando Magic,Portland Trail Blazers
Dallas Mavericks,San Antonio Spurs
Detroit Pistons,Toronto Raptors
Oklahoma City Thunder,Denver Nuggets
Miami Heat,New York Knicks
Houston Rockets,Atlanta Hawks
Miami Heat,Brooklyn Nets
Boston Celtics,Golden State Warriors
Washington Wizards,Indiana Pacers
Los Angeles Lakers,Los Angeles Clippers
Phoenix Suns,Memphis Grizzlies
Chicago Bulls,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Detroit Pistons,Philadelphia 76ers
Orlando Magic,Sacramento Kings
Cleveland Cavaliers,Utah Jazz
Charlotte Hornets,Chicago Bulls
New Orleans Pelicans,Dallas Mavericks
Orlando Magic,Denver Nuggets
Phoenix Suns,Detroit Pistons
Milwaukee Bucks,Oklahoma City Thunder
New York Knicks,Philadelphia 76ers
Boston Celtics,Portland Trail Blazers
Brooklyn Nets,Toronto Raptors
Houston Rockets,Washington Wizards
Atlanta Hawks,Memphis Grizzlies
Cleveland Cavaliers,Sacramento Kings
Minnesota Timberwolves,San Antonio Spurs
Houston Rockets,Boston Celtics
Washington Wizards,Chicago Bulls
Orlando Magic,Dallas Mavericks
San Antonio Spurs,New Orleans Pelicans
Phoenix Suns,New York Knicks
Milwaukee Bucks,Toronto Raptors
Denver Nuggets,Utah Jazz
New York Knicks,Charlotte Hornets
Sacramento Kings,Indiana Pacers
Cleveland Cavaliers,Los Angeles Lakers
Oklahoma City Thunder,Memphis Grizzlies
Toronto Raptors,Boston Celtics
Denver Nuggets,Golden State Warriors
Dallas Mavericks,Los Angeles Clippers
Memphis Grizzlies,Milwaukee Bucks
Sacramento Kings,Minnesota Timberwolves
Houston Rockets,New Orleans Pelicans
Chicago Bulls,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Los Angeles Lakers,Phoenix Suns
Cleveland Cavaliers,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
Miami Heat,Washington Wizards
Brooklyn Nets,Atlanta Hawks
Oklahoma City Thunder,Houston Rockets
New York Knicks,Indiana Pacers
Los Angeles Lakers,Boston Celtics
Cleveland Cavaliers,Denver Nuggets
Utah Jazz,Detroit Pistons
Sacramento Kings,Memphis Grizzlies
Los Angeles Clippers,New York Knicks
Golden State Warriors,Oklahoma City Thunder
Charlotte Hornets,Orlando Magic
Miami Heat,Philadelphia 76ers
Dallas Mavericks,Phoenix Suns
Portland Trail Blazers,San Antonio Spurs
Minnesota Timberwolves,Toronto Raptors
Chicago Bulls,Washington Wizards
Miami Heat,Charlotte Hornets
Philadelphia 76ers,Chicago Bulls
Portland Trail Blazers,Dallas Mavericks
Milwaukee Bucks,Houston Rockets
Los Angeles Clippers,Indiana Pacers
Utah Jazz,Minnesota Timberwolves
Golden State Warriors,New Orleans Pelicans
Detroit Pistons,Washington Wizards
Sacramento Kings,Oklahoma City Thunder
Boston Celtics,Orlando Magic
Denver Nuggets,Phoenix Suns
Milwaukee Bucks,San Antonio Spurs
Los Angeles Lakers,Toronto Raptors
Miami Heat,Atlanta Hawks
Toronto Raptors,Charlotte Hornets
Los Angeles Lakers,Chicago Bulls
Dallas Mavericks,Cleveland Cavaliers
Los Angeles Clippers,Detroit Pistons
Indiana Pacers,Golden State Warriors
Portland Trail Blazers,Houston Rockets
New Orleans Pelicans,Memphis Grizzlies
Brooklyn Nets,New York Knicks
Philadelphia 76ers,Washington Wizards
Orlando Magic,Brooklyn Nets
Boston Celtics,Miami Heat
Sacramento Kings,New Orleans Pelicans
Portland Trail Blazers,Oklahoma City Thunder
Minnesota Timberwolves,Utah Jazz
Los Angeles Clippers,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Sacramento Kings,Houston Rockets
Detroit Pistons,Milwaukee Bucks
Philadelphia 76ers,New York Knicks
Atlanta Hawks,Orlando Magic
Indiana Pacers,Phoenix Suns
Oklahoma City Thunder,San Antonio Spurs
Dallas Mavericks,Toronto Raptors
Boston Celtics,Washington Wizards
Los Angeles Lakers,Miami Heat
Denver Nuggets,Portland Trail Blazers
San Antonio Spurs,Atlanta Hawks
Oklahoma City Thunder,Boston Celtics
Dallas Mavericks,Brooklyn Nets
Los Angeles Clippers,Chicago Bulls
Milwaukee Bucks,Cleveland Cavaliers
New Orleans Pelicans,Detroit Pistons
Minnesota Timberwolves,Golden State Warriors
Memphis Grizzlies,Houston Rockets
Charlotte Hornets,New York Knicks
Los Angeles Lakers,Orlando Magic
Toronto Raptors,Philadelphia 76ers
Washington Wizards,Phoenix Suns
Indiana Pacers,Sacramento Kings
Chicago Bulls,Charlotte Hornets
Indiana Pacers,Denver Nuggets
Houston Rockets,Memphis Grizzlies
Atlanta Hawks,Milwaukee Bucks
Oklahoma City Thunder,Philadelphia 76ers
Minnesota Timberwolves,Portland Trail Blazers
Los Angeles Clippers,Toronto Raptors
Washington Wizards,Utah Jazz
Brooklyn Nets,Boston Celtics
Phoenix Suns,Cleveland Cavaliers
Detroit Pistons,Dallas Mavericks
Portland Trail Blazers,Golden State Warriors
San Antonio Spurs,Miami Heat
Orlando Magic,New Orleans Pelicans
Los Angeles Lakers,New York Knicks
Denver Nuggets,Sacramento Kings
Toronto Raptors,Brooklyn Nets
Minnesota Timberwolves,Chicago Bulls
Los Angeles Clippers,Milwaukee Bucks
Atlanta Hawks,Oklahoma City Thunder
Phoenix Suns,Philadelphia 76ers
Sacramento Kings,Utah Jazz
New Orleans Pelicans,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Washington Wizards,Golden State Warriors
San Antonio Spurs,Houston Rockets
Indiana Pacers,Los Angeles Lakers
Boston Celtics,New York Knicks
Memphis Grizzlies,Portland Trail Blazers
Philadelphia 76ers,Boston Celtics
Houston Rockets,Dallas Mavericks
Charlotte Hornets,Denver Nuggets
Washington Wizards,Los Angeles Clippers
Oklahoma City Thunder,Miami Heat
Phoenix Suns,Milwaukee Bucks
New Orleans Pelicans,Minnesota Timberwolves
Memphis Grizzlies,Sacramento Kings
Chicago Bulls,San Antonio Spurs
Orlando Magic,Toronto Raptors
Los Angeles Clippers,Golden State Warriors
Phoenix Suns,Indiana Pacers
Cleveland Cavaliers,New York Knicks
Oklahoma City Thunder,Brooklyn Nets
Sacramento Kings,Dallas Mavericks
Toronto Raptors,Denver Nuggets
Charlotte Hornets,Los Angeles Lakers
Memphis Grizzlies,Minnesota Timberwolves
Milwaukee Bucks,Orlando Magic
Atlanta Hawks,Philadelphia 76ers
Golden State Warriors,Utah Jazz
Minnesota Timberwolves,Atlanta Hawks
Philadelphia 76ers,Detroit Pistons
Cleveland Cavaliers,Houston Rockets
Brooklyn Nets,Indiana Pacers
Utah Jazz,Los Angeles Clippers
Milwaukee Bucks,Memphis Grizzlies
Chicago Bulls,New Orleans Pelicans
Miami Heat,New York Knicks
Charlotte Hornets,Phoenix Suns
Toronto Raptors,Portland Trail Blazers
Sacramento Kings,San Antonio Spurs
Oklahoma City Thunder,Washington Wizards
Orlando Magic,Boston Celtics
Philadelphia 76ers,Brooklyn Nets
Cleveland Cavaliers,Dallas Mavericks
Los Angeles Clippers,Denver Nuggets
Orlando Magic,Indiana Pacers
Detroit Pistons,Miami Heat
New York Knicks,Milwaukee Bucks
San Antonio Spurs,New Orleans Pelicans
Memphis Grizzlies,Oklahoma City Thunder
Chicago Bulls,Sacramento Kings
Toronto Raptors,Utah Jazz
Portland Trail Blazers,Washington Wizards
Indiana Pacers,Atlanta Hawks
Charlotte Hornets,Golden State Warriors
Los Angeles Lakers,Minnesota Timberwolves
Chicago Bulls,Phoenix Suns
Los Angeles Lakers,Cleveland Cavaliers
Milwaukee Bucks,Denver Nuggets
