Visitor/Neutral,Home/Neutral
Indiana Pacers,Atlanta Hawks
Washington Wizards,Boston Celtics
Phoenix Suns,Charlotte Hornets
Toronto Raptors,Dallas Mavericks
Cleveland Cavaliers,Golden State Warriors
Denver Nuggets,Houston Rockets
San Antonio Spurs,Los Angeles Clippers
Brooklyn Nets,Miami Heat
Memphis Grizzlies,Milwaukee Bucks
Orlando Magic,Minnesota Timberwolves
Philadelphia 76ers,New Orleans Pelicans
Detroit Pistons,Sacramento Kings
Los Angeles Lakers,Utah Jazz
Oklahoma City Thunder,Chicago Bulls
Los Angeles Clippers,Portland Trail Blazers
Miami Heat,Atlanta Hawks
Philadelphia 76ers,Boston Celtics
Utah Jazz,Denver Nuggets
Golden State Warriors,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
Indiana Pacers,Minnesota Timberwolves
Charlotte Hornets,New Orleans Pelicans
Dallas Mavericks,New York Knicks
Detroit Pistons,Oklahoma City Thunder
Brooklyn Nets,Orlando Magic
Cleveland Cavaliers,Phoenix Suns
San Antonio Spurs,Sacramento Kings
Milwaukee Bucks,Washington Wizards
Dallas Mavericks,Charlotte Hornets
Minnesota Timberwolves,Chicago Bulls
Denver Nuggets,Golden State Warriors
Detroit Pistons,Houston Rockets
Washington Wizards,Indiana Pacers
Boston Celtics,Milwaukee Bucks
San Antonio Spurs,Portland Trail Blazers
Philadelphia 76ers,Toronto Raptors
Phoenix Suns,Utah Jazz
Orlando Magic,Brooklyn Nets
Atlanta Hawks,Los Angeles Clippers
Sacramento Kings,Los Angeles Lakers
Miami Heat,Memphis Grizzlies
Cleveland Cavaliers,Oklahoma City Thunder
Boston Celtics,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Oklahoma City Thunder,Detroit Pistons
Miami Heat,Houston Rockets
Milwaukee Bucks,Philadelphia 76ers
Denver Nuggets,Phoenix Suns
Atlanta Hawks,Portland Trail Blazers
Utah Jazz,Toronto Raptors
Cleveland Cavaliers,Brooklyn Nets
Washington Wizards,Charlotte Hornets
Toronto Raptors,Indiana Pacers
San Antonio Spurs,Los Angeles Lakers
New York Knicks,Orlando Magic
Portland Trail Blazers,Sacramento Kings
Utah Jazz,Boston Celtics
Washington Wizards,Dallas Mavericks
Atlanta Hawks,Golden State Warriors
New Orleans Pelicans,Houston Rockets
Miami Heat,Los Angeles Clippers
Indiana Pacers,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves
Memphis Grizzlies,Oklahoma City Thunder
Detroit Pistons,Philadelphia 76ers
Chicago Bulls,Phoenix Suns
Boston Celtics,Brooklyn Nets
Miami Heat,Denver Nuggets
New York Knicks,San Antonio Spurs
Orlando Magic,Detroit Pistons
Dallas Mavericks,Indiana Pacers
Phoenix Suns,Los Angeles Lakers
New York Knicks,Memphis Grizzlies
Golden State Warriors,Minnesota Timberwolves
Oklahoma City Thunder,New Orleans Pelicans
Utah Jazz,Philadelphia 76ers
Houston Rockets,Portland Trail Blazers
Atlanta Hawks,Sacramento Kings
Toronto Raptors,Boston Celtics
Memphis Grizzlies,Charlotte Hornets
Dallas Mavericks,Cleveland Cavaliers
Chicago Bulls,Los Angeles Clippers
New Orleans Pelicans,Milwaukee Bucks
Miami Heat,Phoenix Suns
Denver Nuggets,San Antonio Spurs
Utah Jazz,Washington Wizards
Boston Celtics,Detroit Pistons
Houston Rockets,Los Angeles Lakers
Indiana Pacers,New York Knicks
Golden State Warriors,Oklahoma City Thunder
Cleveland Cavaliers,Philadelphia 76ers
Chicago Bulls,Portland Trail Blazers
Brooklyn Nets,Sacramento Kings
Orlando Magic,Toronto Raptors
Orlando Magic,Atlanta Hawks
Milwaukee Bucks,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Denver Nuggets,Memphis Grizzlies
Los Angeles Clippers,San Antonio Spurs
Houston Rockets,Utah Jazz
Indiana Pacers,Washington Wizards
Brooklyn Nets,Los Angeles Lakers
New York Knicks,New Orleans Pelicans
Toronto Raptors,Philadelphia 76ers
Washington Wizards,Atlanta Hawks
San Antonio Spurs,Boston Celtics
Toronto Raptors,Charlotte Hornets
Philadelphia 76ers,Cleveland Cavaliers
New York Knicks,Dallas Mavericks
Brooklyn Nets,Golden State Warriors
Chicago Bulls,Houston Rockets
New Orleans Pelicans,Indiana Pacers
Milwaukee Bucks,Miami Heat
Denver Nuggets,Minnesota Timberwolves
Los Angeles Clippers,Oklahoma City Thunder
Detroit Pistons,Orlando Magic
Portland Trail Blazers,Phoenix Suns
Los Angeles Lakers,Sacramento Kings
Oklahoma City Thunder,Boston Celtics
Los Angeles Clippers,Brooklyn Nets
Atlanta Hawks,Charlotte Hornets
Golden State Warriors,Denver Nuggets
Toronto Raptors,Detroit Pistons
New York Knicks,Houston Rockets
San Antonio Spurs,Indiana Pacers
Los Angeles Lakers,Memphis Grizzlies
Cleveland Cavaliers,Orlando Magic
New Orleans Pelicans,Phoenix Suns
Minnesota Timberwolves,Portland Trail Blazers
Sacramento Kings,Utah Jazz
Los Angeles Clippers,Atlanta Hawks
Los Angeles Lakers,Dallas Mavericks
Minnesota Timberwolves,Golden State Warriors
Cleveland Cavaliers,Miami Heat
Chicago Bulls,Milwaukee Bucks
Oklahoma City Thunder,Philadelphia 76ers
Utah Jazz,Sacramento Kings
Charlotte Hornets,Washington Wizards
Portland Trail Blazers,Brooklyn Nets
New Orleans Pelicans,Denver Nuggets
Detroit Pistons,New York Knicks
Boston Celtics,Orlando Magic
Phoenix Suns,Philadelphia 76ers
San Antonio Spurs,Toronto Raptors
New York Knicks,Brooklyn Nets
Milwaukee Bucks,Chicago Bulls
Portland Trail Blazers,Detroit Pistons
New Orleans Pelicans,Los Angeles Clippers
Cleveland Cavaliers,Memphis Grizzlies
Charlotte Hornets,Oklahoma City Thunder
Denver Nuggets,Utah Jazz
San Antonio Spurs,Washington Wizards
Phoenix Suns,Cleveland Cavaliers
Toronto Raptors,Houston Rockets
Indiana Pacers,Los Angeles Lakers
Dallas Mavericks,Philadelphia 76ers
Minnesota Timberwolves,Sacramento Kings
Charlotte Hornets,Atlanta Hawks
Brooklyn Nets,Boston Celtics
Dallas Mavericks,Chicago Bulls
Phoenix Suns,Detroit Pistons
Minnesota Timberwolves,Los Angeles Clippers
Toronto Raptors,Memphis Grizzlies
New York Knicks,Milwaukee Bucks
Utah Jazz,New Orleans Pelicans
Houston Rockets,Oklahoma City Thunder
San Antonio Spurs,Orlando Magic
Portland Trail Blazers,Washington Wizards
Denver Nuggets,Golden State Warriors
San Antonio Spurs,Miami Heat
Cleveland Cavaliers,Atlanta Hawks
Portland Trail Blazers,Boston Celtics
Philadelphia 76ers,Charlotte Hornets
Denver Nuggets,Los Angeles Lakers
Detroit Pistons,Memphis Grizzlies
Milwaukee Bucks,Minnesota Timberwolves
Washington Wizards,New York Knicks
Utah Jazz,Oklahoma City Thunder
Brooklyn Nets,Orlando Magic
Indiana Pacers,Sacramento Kings
Phoenix Suns,Toronto Raptors
Philadelphia 76ers,Chicago Bulls
Portland Trail Blazers,Cleveland Cavaliers
Detroit Pistons,Dallas Mavericks
Indiana Pacers,Golden State Warriors
Utah Jazz,Houston Rockets
Sacramento Kings,Los Angeles Clippers
Brooklyn Nets,Miami Heat
Boston Celtics,Milwaukee Bucks
Oklahoma City Thunder,New Orleans Pelicans
Memphis Grizzlies,San Antonio Spurs
Orlando Magic,Los Angeles Lakers
Phoenix Suns,New York Knicks
Portland Trail Blazers,Charlotte Hornets
Toronto Raptors,Denver Nuggets
Cleveland Cavaliers,Detroit Pistons
Orlando Magic,Golden State Warriors
Milwaukee Bucks,New Orleans Pelicans
Los Angeles Clippers,Utah Jazz
Oklahoma City Thunder,Brooklyn Nets
Indiana Pacers,Chicago Bulls
Los Angeles Lakers,Houston Rockets
Phoenix Suns,Memphis Grizzlies
Minnesota Timberwolves,Philadelphia 76ers
Miami Heat,Washington Wizards
Denver Nuggets,Atlanta Hawks
Minnesota Timberwolves,Boston Celtics
New York Knicks,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Golden State Warriors,Detroit Pistons
Portland Trail Blazers,Indiana Pacers
Dallas Mavericks,Los Angeles Clippers
Los Angeles Lakers,New Orleans Pelicans
Toronto Raptors,Sacramento Kings
Milwaukee Bucks,San Antonio Spurs
Orlando Magic,Utah Jazz
New York Knicks,Miami Heat
Dallas Mavericks,Phoenix Suns
Washington Wizards,Atlanta Hawks
Golden State Warriors,Brooklyn Nets
Chicago Bulls,Detroit Pistons
Denver Nuggets,Indiana Pacers
Charlotte Hornets,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Memphis Grizzlies,New Orleans Pelicans
Los Angeles Lakers,Oklahoma City Thunder
Boston Celtics,Philadelphia 76ers
Orlando Magic,Sacramento Kings
Houston Rockets,San Antonio Spurs
Toronto Raptors,Utah Jazz
Philadelphia 76ers,Boston Celtics
San Antonio Spurs,Charlotte Hornets
New York Knicks,Chicago Bulls
Detroit Pistons,Cleveland Cavaliers
Dallas Mavericks,Houston Rockets
Phoenix Suns,Los Angeles Clippers
Atlanta Hawks,Memphis Grizzlies
New Orleans Pelicans,Miami Heat
Sacramento Kings,Portland Trail Blazers
Golden State Warriors,Washington Wizards
Milwaukee Bucks,Brooklyn Nets
Toronto Raptors,Los Angeles Clippers
Utah Jazz,Los Angeles Lakers
Denver Nuggets,New York Knicks
Indiana Pacers,Oklahoma City Thunder
Orlando Magic,Phoenix Suns
Golden State Warriors,Charlotte Hornets
Sacramento Kings,Dallas Mavericks
San Antonio Spurs,Houston Rockets
Atlanta Hawks,Miami Heat
Detroit Pistons,Philadelphia 76ers
Toronto Raptors,Portland Trail Blazers
New York Knicks,Brooklyn Nets
Los Angeles Clippers,Chicago Bulls
Los Angeles Lakers,Cleveland Cavaliers
Denver Nuggets,Detroit Pistons
Washington Wizards,New Orleans Pelicans
Dallas Mavericks,Boston Celtics
Los Angeles Clippers,Charlotte Hornets
Washington Wizards,Houston Rockets
Cleveland Cavaliers,Indiana Pacers
Golden State Warriors,Miami Heat
Sacramento Kings,Milwaukee Bucks
Denver Nuggets,Minnesota Timberwolves
New Orleans Pelicans,Oklahoma City Thunder
Atlanta Hawks,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Memphis Grizzlies,Phoenix Suns
Brooklyn Nets,Toronto Raptors
San Antonio Spurs,Utah Jazz
Charlotte Hornets,Atlanta Hawks
Los Angeles Lakers,New York Knicks
San Antonio Spurs,Portland Trail Blazers
Detroit Pistons,Brooklyn Nets
Milwaukee Bucks,Cleveland Cavaliers
Memphis Grizzlies,Denver Nuggets
Boston Celtics,Houston Rockets
Philadelphia 76ers,Indiana Pacers
Minnesota Timberwolves,New Orleans Pelicans
Sacramento Kings,Oklahoma City Thunder
Golden State Warriors,Orlando Magic
Utah Jazz,Phoenix Suns
Dallas Mavericks,Toronto Raptors
Los Angeles Lakers,Washington Wizards
Golden State Warriors,Atlanta Hawks
Orlando Magic,Charlotte Hornets
Brooklyn Nets,Chicago Bulls
Indiana Pacers,Detroit Pistons
Washington Wizards,Miami Heat
Los Angeles Clippers,Milwaukee Bucks
Dallas Mavericks,Minnesota Timberwolves
Cleveland Cavaliers,New York Knicks
Boston Celtics,San Antonio Spurs
Memphis Grizzlies,Utah Jazz
Los Angeles Lakers,Philadelphia 76ers
New Orleans Pelicans,Portland Trail Blazers
Denver Nuggets,Sacramento Kings
Houston Rockets,Toronto Raptors
Los Angeles Clippers,Detroit Pistons
Chicago Bulls,Memphis Grizzlies
Houston Rockets,New York Knicks
San Antonio Spurs,Oklahoma City Thunder
Minnesota Timberwolves,Orlando Magic
Sacramento Kings,Phoenix Suns
Utah Jazz,Brooklyn Nets
Boston Celtics,Chicago Bulls
Toronto Raptors,Cleveland Cavaliers
Philadelphia 76ers,Dallas Mavericks
San Antonio Spurs,Denver Nuggets
New Orleans Pelicans,Golden State Warriors
Charlotte Hornets,Los Angeles Lakers
Minnesota Timberwolves,Miami Heat
Indiana Pacers,Milwaukee Bucks
Atlanta Hawks,Washington Wizards
Oklahoma City Thunder,Atlanta Hawks
Cleveland Cavaliers,Boston Celtics
Philadelphia 76ers,Houston Rockets
Utah Jazz,Indiana Pacers
New Orleans Pelicans,Los Angeles Clippers
Milwaukee Bucks,Memphis Grizzlies
Brooklyn Nets,New York Knicks
Washington Wizards,Orlando Magic
Charlotte Hornets,Phoenix Suns
Golden State Warriors,Sacramento Kings
Detroit Pistons,Toronto Raptors
Miami Heat,Dallas Mavericks
Oklahoma City Thunder,Minnesota Timberwolves
Denver Nuggets,Portland Trail Blazers
Milwaukee Bucks,Boston Celtics
Indiana Pacers,Cleveland Cavaliers
Washington Wizards,Detroit Pistons
Charlotte Hornets,Golden State Warriors
Sacramento Kings,Los Angeles Clippers
Dallas Mavericks,Memphis Grizzlies
Chicago Bulls,New York Knicks
Atlanta Hawks,Philadelphia 76ers
New Orleans Pelicans,San Antonio Spurs
Orlando Magic,Toronto Raptors
Chicago Bulls,Atlanta Hawks
Charlotte Hornets,Denver Nuggets
Los Angeles Lakers,Golden State Warriors
Memphis Grizzlies,Houston Rockets
Utah Jazz,Miami Heat
Cleveland Cavaliers,Milwaukee Bucks
Indiana Pacers,New Orleans Pelicans
Phoenix Suns,Portland Trail Blazers
Detroit Pistons,Washington Wizards
Philadelphia 76ers,Brooklyn Nets
Minnesota Timberwolves,New York Knicks
Utah Jazz,Orlando Magic
Los Angeles Clippers,Phoenix Suns
Portland Trail Blazers,Sacramento Kings
Dallas Mavericks,San Antonio Spurs
Boston Celtics,Brooklyn Nets
Houston Rockets,Chicago Bulls
Denver Nuggets,Los Angeles Clippers
New York Knicks,Los Angeles Lakers
Oklahoma City Thunder,Miami Heat
Detroit Pistons,Atlanta Hawks
Miami Heat,Charlotte Hornets
Los Angeles Lakers,Denver Nuggets
Philadelphia 76ers,Memphis Grizzlies
Brooklyn Nets,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves
New Orleans Pelicans,Orlando Magic
New York Knicks,Phoenix Suns
Sacramento Kings,Portland Trail Blazers
Toronto Raptors,San Antonio Spurs
Golden State Warriors,Utah Jazz
Cleveland Cavaliers,Washington Wizards
Boston Celtics,Los Angeles Clippers
Dallas Mavericks,Oklahoma City Thunder
Charlotte Hornets,Brooklyn Nets
Atlanta Hawks,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Miami Heat,Detroit Pistons
Philadelphia 76ers,Golden State Warriors
Phoenix Suns,Indiana Pacers
Portland Trail Blazers,Los Angeles Lakers
Toronto Raptors,New Orleans Pelicans
New York Knicks,Sacramento Kings
Houston Rockets,San Antonio Spurs
Los Angeles Clippers,Utah Jazz
Orlando Magic,Washington Wizards
Indiana Pacers,Atlanta Hawks
Cleveland Cavaliers,Brooklyn Nets
New Orleans Pelicans,Charlotte Hornets
Washington Wizards,Chicago Bulls
Boston Celtics,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Denver Nuggets,Memphis Grizzlies
Miami Heat,Milwaukee Bucks
Phoenix Suns,Minnesota Timberwolves
Toronto Raptors,Orlando Magic
Philadelphia 76ers,Portland Trail Blazers
San Antonio Spurs,Dallas Mavericks
Milwaukee Bucks,Detroit Pistons
Utah Jazz,Los Angeles Clippers
Boston Celtics,Sacramento Kings
Charlotte Hornets,Chicago Bulls
Atlanta Hawks,Houston Rockets
Memphis Grizzlies,Indiana Pacers
Phoenix Suns,Oklahoma City Thunder
Miami Heat,Orlando Magic
Brooklyn Nets,San Antonio Spurs
Los Angeles Clippers,Denver Nuggets
Sacramento Kings,Detroit Pistons
Philadelphia 76ers,Los Angeles Lakers
Atlanta Hawks,New Orleans Pelicans
Portland Trail Blazers,New York Knicks
Dallas Mavericks,Washington Wizards
Memphis Grizzlies,Boston Celtics
Sacramento Kings,Cleveland Cavaliers
Los Angeles Clippers,Golden State Warriors
New Orleans Pelicans,Houston Rockets
Washington Wizards,Indiana Pacers
Dallas Mavericks,Miami Heat
San Antonio Spurs,Milwaukee Bucks
Brooklyn Nets,Oklahoma City Thunder
Chicago Bulls,Orlando Magic
Philadelphia 76ers,Phoenix Suns
Portland Trail Blazers,Toronto Raptors
Minnesota Timberwolves,Utah Jazz
Minnesota Timberwolves,Denver Nuggets
San Antonio Spurs,New York Knicks
Indiana Pacers,Boston Celtics
Cleveland Cavaliers,Charlotte Hornets
Atlanta Hawks,Detroit Pistons
Los Angeles Lakers,Los Angeles Clippers
Portland Trail Blazers,Memphis Grizzlies
Chicago Bulls,Miami Heat
Houston Rockets,Milwaukee Bucks
Philadelphia 76ers,Oklahoma City Thunder
Utah Jazz,Phoenix Suns
Sacramento Kings,Toronto Raptors
Brooklyn Nets,Washington Wizards
Boston Celtics,Atlanta Hawks
Sacramento Kings,Brooklyn Nets
Houston Rockets,Cleveland Cavaliers
New Orleans Pelicans,Dallas Mavericks
Utah Jazz,Denver Nuggets
Milwaukee Bucks,Indiana Pacers
Golden State Warriors,Los Angeles Clippers
Portland Trail Blazers,Minnesota Timberwolves
New York Knicks,Orlando Magic
Philadelphia 76ers,San Antonio Spurs
Charlotte Hornets,Detroit Pistons
Denver Nuggets,Los Angeles Lakers
Washington Wizards,Miami Heat
Memphis Grizzlies,Phoenix Suns
Oklahoma City Thunder,Toronto Raptors
Cleveland Cavaliers,Chicago Bulls
San Antonio Spurs,New Orleans Pelicans
Boston Celtics,New York Knicks
Orlando Magic,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Dallas Mavericks,Utah Jazz
Oklahoma City Thunder,Washington Wizards
Los Angeles Lakers,Houston Rockets
Miami Heat,Indiana Pacers
Phoenix Suns,Milwaukee Bucks
Atlanta Hawks,Minnesota Timberwolves
Brooklyn Nets,Philadelphia 76ers
Phoenix Suns,Boston Celtics
Utah Jazz,Charlotte Hornets
Milwaukee Bucks,Chicago Bulls
Atlanta Hawks,Cleveland Cavaliers
Orlando Magic,Denver Nuggets
Memphis Grizzlies,Golden State Warriors
Dallas Mavericks,Los Angeles Clippers
Houston Rockets,New Orleans Pelicans
Minnesota Timberwolves,Oklahoma City Thunder
Los Angeles Lakers,San Antonio Spurs
Philadelphia 76ers,Toronto Raptors
New York Knicks,Indiana Pacers
Miami Heat,Portland Trail Blazers
Dallas Mavericks,Sacramento Kings
Utah Jazz,Atlanta Hawks
Houston Rockets,Boston Celtics
Phoenix Suns,Brooklyn Nets
Cleveland Cavaliers,Denver Nuggets
Portland Trail Blazers,Golden State Warriors
Oklahoma City Thunder,Los Angeles Lakers
San Antonio Spurs,Memphis Grizzlies
Detroit Pistons,Milwaukee Bucks
Minnesota Timberwolves,New Orleans Pelicans
Chicago Bulls,New York Knicks
Charlotte Hornets,Toronto Raptors
Phoenix Suns,Chicago Bulls
Memphis Grizzlies,Dallas Mavericks
Utah Jazz,Detroit Pistons
Charlotte Hornets,Indiana Pacers
Orlando Magic,Los Angeles Clippers
Houston Rockets,Philadelphia 76ers
Miami Heat,Sacramento Kings
Atlanta Hawks,Washington Wizards
Indiana Pacers,Brooklyn Nets
Golden State Warriors,Denver Nuggets
Cleveland Cavaliers,Los Angeles Lakers
New Orleans Pelicans,New York Knicks
Oklahoma City Thunder,Portland Trail Blazers
Minnesota Timberwolves,San Antonio Spurs
Milwaukee Bucks,Toronto Raptors
Charlotte Hornets,Boston Celtics
Atlanta Hawks,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Los Angeles Clippers,Memphis Grizzlies
Oklahoma City Thunder,Phoenix Suns
Cleveland Cavaliers,Sacramento Kings
Miami Heat,Utah Jazz
Orlando Magic,Washington Wizards
Toronto Raptors,Brooklyn Nets
Indiana Pacers,Charlotte Hornets
Portland Trail Blazers,Denver Nuggets
Los Angeles Clippers,Houston Rockets
Milwaukee Bucks,Los Angeles Lakers
New Orleans Pelicans,Philadelphia 76ers
Brooklyn Nets,Atlanta Hawks
New Orleans Pelicans,Boston Celtics
Houston Rockets,Dallas Mavericks
Miami Heat,Golden State Warriors
Denver Nuggets,Oklahoma City Thunder
Indiana Pacers,Orlando Magic
Cleveland Cavaliers,Portland Trail Blazers
Washington Wizards,Sacramento Kings
Memphis Grizzlies,San Antonio Spurs
Chicago Bulls,Toronto Raptors
New York Knicks,Detroit Pistons
Miami Heat,Los Angeles Lakers
Los Angeles Clippers,Minnesota Timberwolves
Milwaukee Bucks,Phoenix Suns
Chicago Bulls,Boston Celtics
Atlanta Hawks,Brooklyn Nets
Oklahoma City Thunder,Dallas Mavericks
Washington Wizards,Denver Nuggets
Houston Rockets,Indiana Pacers
Sacramento Kings,Memphis Grizzlies
Charlotte Hornets,Orlando Magic
Toronto Raptors,Philadelphia 76ers
Golden State Warriors,San Antonio Spurs
San Antonio Spurs,Atlanta Hawks
Sacramento Kings,Charlotte Hornets
Memphis Grizzlies,Chicago Bulls
Washington Wizards,Los Angeles Clippers
Houston Rockets,Minnesota Timberwolves
Golden State Warriors,New Orleans Pelicans
Milwaukee Bucks,Portland Trail Blazers
Cleveland Cavaliers,Utah Jazz
Oklahoma City Thunder,Denver Nuggets
Boston Celtics,Detroit Pistons
Dallas Mavericks,Orlando Magic
Los Angeles Lakers,Toronto Raptors
Minnesota Timberwolves,Atlanta Hawks
Houston Rockets,Charlotte Hornets
Los Angeles Lakers,Chicago Bulls
Los Angeles Clippers,Golden State Warriors
Indiana Pacers,Memphis Grizzlies
Sacramento Kings,New Orleans Pelicans
Brooklyn Nets,New York Knicks
San Antonio Spurs,Philadelphia 76ers
Washington Wizards,Portland Trail Blazers
Boston Celtics,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Oklahoma City Thunder,Los Angeles Clippers
Philadelphia 76ers,Milwaukee Bucks
Atlanta Hawks,Charlotte Hornets
Detroit Pistons,Chicago Bulls
Oklahoma City Thunder,Golden State Warriors
Denver Nuggets,Houston Rockets
Los Angeles Lakers,Memphis Grizzlies
Toronto Raptors,Miami Heat
Brooklyn Nets,Minnesota Timberwolves
Indiana Pacers,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
New Orleans Pelicans,San Antonio Spurs
Washington Wizards,Utah Jazz
New York Knicks,Boston Celtics
Toronto Raptors,Orlando Magic
Los Angeles Clippers,Phoenix Suns
Boston Celtics,Atlanta Hawks
Golden State Warriors,Chicago Bulls
Milwaukee Bucks,Cleveland Cavaliers
San Antonio Spurs,Dallas Mavericks
Utah Jazz,Los Angeles Lakers
Brooklyn Nets,Memphis Grizzlies
Detroit Pistons,Miami Heat
Houston Rockets,New Orleans Pelicans
Oklahoma City Thunder,Sacramento Kings
Minnesota Timberwolves,Washington Wizards
Minnesota Timberwolves,Charlotte Hornets
Sacramento Kings,Denver Nuggets
Brooklyn Nets,Houston Rockets
Golden State Warriors,Milwaukee Bucks
New York Knicks,Philadelphia 76ers
Los Angeles Clippers,Portland Trail Blazers
Phoenix Suns,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Indiana Pacers,Utah Jazz
Chicago Bulls,Washington Wizards
Miami Heat,Boston Celtics
Phoenix Suns,Dallas Mavericks
Portland Trail Blazers,Los Angeles Clippers
Oklahoma City Thunder,Los Angeles Lakers
New Orleans Pelicans,Memphis Grizzlies
Atlanta Hawks,New York Knicks
Detroit Pistons,Orlando Magic
Orlando Magic,Brooklyn Nets
Charlotte Hornets,Chicago Bulls
Indiana Pacers,Denver Nuggets
Memphis Grizzlies,Philadelphia 76ers
Golden State Warriors,Toronto Raptors
Houston Rockets,Utah Jazz
Sacramento Kings,Washington Wizards
Golden State Warriors,Cleveland Cavaliers
Milwaukee Bucks,Detroit Pistons
New Orleans Pelicans,Los Angeles Lakers
Dallas Mavericks,Portland Trail Blazers
Toronto Raptors,Atlanta Hawks
Sacramento Kings,Boston Celtics
Miami Heat,Brooklyn Nets
Houston Rockets,Denver Nuggets
Detroit Pistons,Indiana Pacers
Chicago Bulls,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Orlando Magic,New York Knicks
Washington Wizards,Philadelphia 76ers
Los Angeles Lakers,Phoenix Suns
Charlotte Hornets,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Dallas Mavericks,Golden State Warriors
Memphis Grizzlies,Oklahoma City Thunder
Orlando Magic,Boston Celtics
Chicago Bulls,Brooklyn Nets
New Orleans Pelicans,Denver Nuggets
Cleveland Cavaliers,Detroit Pistons
Miami Heat,Indiana Pacers
Washington Wizards,Memphis Grizzlies
Los Angeles Lakers,Minnesota Timberwolves
Milwaukee Bucks,New York Knicks
Sacramento Kings,Philadelphia 76ers
Dallas Mavericks,Phoenix Suns
Los Angeles Clippers,Toronto Raptors
Portland Trail Blazers,Utah Jazz
Chicago Bulls,Atlanta Hawks
Oklahoma City Thunder,Cleveland Cavaliers
Phoenix Suns,Golden State Warriors
Charlotte Hornets,Houston Rockets
Orlando Magic,Milwaukee Bucks
New Orleans Pelicans,Minnesota Timberwolves
Sacramento Kings,New York Knicks
Utah Jazz,Portland Trail Blazers
Washington Wizards,San Antonio Spurs
Los Angeles Clippers,Boston Celtics
Los Angeles Lakers,Detroit Pistons
Miami Heat,Toronto Raptors
Chicago Bulls,Indiana Pacers
Charlotte Hornets,Miami Heat
Portland Trail Blazers,Minnesota Timberwolves
Detroit Pistons,New York Knicks
Dallas Mavericks,Oklahoma City Thunder
Orlando Magic,Philadelphia 76ers
Sacramento Kings,Utah Jazz
Los Angeles Clippers,Washington Wizards
Los Angeles Lakers,Brooklyn Nets
Milwaukee Bucks,Denver Nuggets
Golden State Warriors,Houston Rockets
Atlanta Hawks,Indiana Pacers
Phoenix Suns,Memphis Grizzlies
Memphis Grizzlies,Atlanta Hawks
Charlotte Hornets,Cleveland Cavaliers
Portland Trail Blazers,Dallas Mavericks
Brooklyn Nets,Detroit Pistons
Houston Rockets,Miami Heat
